# energy 	 size (m) 	 pop 	 delta_scan
4.151511056568701008e+00	2.371957730129326035e-04	4.999399094363209811e-03	-8.000000000000000000e+00
4.136357797501615252e+00	2.367624880246452527e-04	6.774494378825528934e-03	-7.000000000000000000e+00
4.064858264932535548e+00	2.347072740225040566e-04	1.496155518634533985e-02	-5.000000000000000000e+00
3.965939140381593120e+00	2.318338612753579730e-04	2.596767173155079336e-02	-4.000000000000000000e+00
3.700374143203113420e+00	2.239374170797856195e-04	5.460457478180766322e-02	-3.000000000000000000e+00
3.382432539849037134e+00	2.141008629362281166e-04	8.818596922537305649e-02	-2.500000000000000000e+00
2.769659176873125350e+00	1.937389808367598689e-04	1.532294694588089978e-01	-2.000000000000000000e+00
2.594632818452725864e+00	1.875174978709292714e-04	1.722522376183771575e-01	-1.897435897435897356e+00
2.403817404942921954e+00	1.804905978917379652e-04	1.933676636488826650e-01	-1.794871794871794712e+00
2.200269166881836380e+00	1.726798856280619527e-04	2.164343460384789419e-01	-1.692307692307692291e+00
1.988240726687364734e+00	1.641490330061427577e-04	2.411961607344515202e-01	-1.589743589743589647e+00
1.773036669596397275e+00	1.550110666598179755e-04	2.672743104696971295e-01	-1.487179487179487225e+00
1.560311956530926913e+00	1.454151193652082315e-04	2.942100553214944125e-01	-1.384615384615384581e+00
1.355442121140108647e+00	1.355327762901120019e-04	3.215107344317263971e-01	-1.282051282051281937e+00
1.162993212021461886e+00	1.255429807549407191e-04	3.486948793299367022e-01	-1.179487179487179516e+00
9.863715282052061273e-01	1.156176425342449410e-04	3.753347705494743947e-01	-1.076923076923076872e+00
8.278088144436159812e-01	1.059177798964112141e-04	4.010675325970728400e-01	-9.743589743589743390e-01
6.882216307323794080e-01	9.657573121582714842e-05	4.256379190089468745e-01	-8.717948717948718063e-01
5.675161810219468972e-01	8.769866255304064261e-05	4.488888334256322388e-01	-7.692307692307691624e-01
4.648122758814716704e-01	7.936748902483709163e-05	4.707591081872977146e-01	-6.666666666666666297e-01
3.787231083332467385e-01	7.164151287644510374e-05	4.912690808127309072e-01	-5.641025641025640969e-01
3.076713840499432084e-01	6.457246989731469397e-05	5.104893159835761640e-01	-4.615384615384615086e-01
2.499677165286127156e-01	5.820305856088155860e-05	5.285451355734319678e-01	-3.589743589743589758e-01
2.040684752077357444e-01	5.258862377353237767e-05	5.455749523267323653e-01	-2.564102564102563875e-01
1.686114357653323292e-01	4.780214216490009889e-05	5.617275767415218501e-01	-1.538461538461538547e-01
1.424489473322594346e-01	4.393731037274448289e-05	5.771606358370235945e-01	-5.128205128205128027e-02
1.247255789789984970e-01	4.111323117196978176e-05	5.919819715863486875e-01	5.128205128205128027e-02
1.147236027348321752e-01	3.943031389226737618e-05	6.063560815310103935e-01	1.538461538461538547e-01
1.119906986758014700e-01	3.895783581302375857e-05	6.203926491423956691e-01	2.564102564102563875e-01
1.162445898762065610e-01	3.969083364471675591e-05	6.342043816376484733e-01	3.589743589743589758e-01
1.273676664837333217e-01	4.154640419677514229e-05	6.478924038784820150e-01	4.615384615384615086e-01
1.453922680364849729e-01	4.438891212679946068e-05	6.615526219853452572e-01	5.641025641025640969e-01
1.704640228346534503e-01	4.806403337245574483e-05	6.752652455940433285e-01	6.666666666666666297e-01
2.028335928714493086e-01	5.242926720183899245e-05	6.891050178385609293e-01	7.692307692307691624e-01
2.428309977759208760e-01	5.736617693347985668e-05	7.031371935743153667e-01	8.717948717948718063e-01
2.907748587898784098e-01	6.277435696017004657e-05	7.174008470769115409e-01	9.743589743589743390e-01
3.469876878778226370e-01	6.857422031730369153e-05	7.319257524818878480e-01	1.076923076923076872e+00
4.116736637797160370e-01	7.469308344636885839e-05	7.467117706942850708e-01	1.179487179487179516e+00
4.849004996820498459e-01	8.106439796698541075e-05	7.617381181818116964e-01	1.282051282051281937e+00
5.664130655560819516e-01	8.761338850211965147e-05	7.769410759598873728e-01	1.384615384615384581e+00
6.556750255674150818e-01	9.426449968452288897e-05	7.922338572012540547e-01	1.487179487179487225e+00
7.517535622441249288e-01	1.009349548872412380e-04	8.074980216604703553e-01	1.589743589743589647e+00
8.532167122193570208e-01	1.075309599005595600e-04	8.225779536120649826e-01	1.692307692307692291e+00
9.581892917497123463e-01	1.139539811339598682e-04	8.372946383797449377e-01	1.794871794871794712e+00
1.064543996409386128e+00	1.201117939278949323e-04	8.514698345065583318e-01	1.897435897435897356e+00
1.169979872368397622e+00	1.259195146713542799e-04	8.649313887813732116e-01	2.000000000000000000e+00
1.609928415491078901e+00	1.477090581092831915e-04	9.168872842531518019e-01	2.500000000000000000e+00
1.881701990798237745e+00	1.596905689032557328e-04	9.472315168570388799e-01	3.000000000000000000e+00
2.125503692119402821e+00	1.697206857082162498e-04	9.744636195500125941e-01	4.000000000000000000e+00
2.218947624842623867e+00	1.734112910637352310e-04	9.851608902897048825e-01	5.000000000000000000e+00
2.287173396312999873e+00	1.760570381307570952e-04	9.931924705627335204e-01	7.000000000000000000e+00
2.301701641821604305e+00	1.766153147588606608e-04	9.949430667391960803e-01	8.000000000000000000e+00
