# energy 	 size (m) 	 pop 	 delta_scan
3.870417792021751069e+00	2.290249355579847420e-04	3.915528751028716364e-03	-8.000000000000000000e+00
3.861460188767099844e+00	2.287597570955855883e-04	5.106125810417083688e-03	-7.000000000000000000e+00
3.825000405961784367e+00	2.276772245944359266e-04	9.926446633888547783e-03	-5.000000000000000000e+00
3.783893266767701213e+00	2.264505004066622083e-04	1.534041484732169211e-02	-4.000000000000000000e+00
3.698380615109369884e+00	2.238770872783130334e-04	2.657586715622955315e-02	-3.000000000000000000e+00
3.616996861873255753e+00	2.214001505584317305e-04	3.725301163546208827e-02	-2.500000000000000000e+00
3.478589140300884175e+00	2.171227916597101841e-04	5.539917710536061690e-02	-2.000000000000000000e+00
3.438670518991791880e+00	2.158733984244406274e-04	6.063286651254236326e-02	-1.897435897435897356e+00
3.393259880020075947e+00	2.144432630707910150e-04	6.658719264403388516e-02	-1.794871794871794712e+00
3.341406102168511083e+00	2.127984579906003779e-04	7.338785766572897273e-02	-1.692307692307692291e+00
3.281977177480037255e+00	2.108975935467700665e-04	8.118533116624468415e-02	-1.589743589743589647e+00
3.213611038582504520e+00	2.086894532041164813e-04	9.015999887533843182e-02	-1.487179487179487225e+00
3.134703128851389131e+00	2.061114196278436008e-04	1.005268307846219344e-01	-1.384615384615384581e+00
3.043357979090861143e+00	2.030861777131283115e-04	1.125409982735529890e-01	-1.282051282051281937e+00
2.937377827040227540e+00	1.995187668893116397e-04	1.265020181471821770e-01	-1.179487179487179516e+00
2.814252620292696960e+00	1.952924192660621485e-04	1.427563983315958407e-01	-1.076923076923076872e+00
2.671224060332213490e+00	1.902650435364094852e-04	1.616945672433867665e-01	-9.743589743589743390e-01
2.505407558018226677e+00	1.842650789200497201e-04	1.837402160643991644e-01	-8.717948717948718063e-01
2.314096741136201008e+00	1.770902297022621213e-04	2.093232353896851139e-01	-7.692307692307691624e-01
2.095201482524262637e+00	1.685065326567528141e-04	2.388354065378382185e-01	-6.666666666666666297e-01
1.848046787039514971e+00	1.582560518927908836e-04	2.725548247741468866e-01	-5.641025641025640969e-01
1.574502562288589758e+00	1.460748778291377466e-04	3.105410019400478006e-01	-4.615384615384615086e-01
1.280382950968964817e+00	1.317266924585752132e-04	3.525160725733992306e-01	-3.589743589743589758e-01
9.775126413994561503e-01	1.150972738288198342e-04	3.977197751369071499e-01	-2.564102564102563875e-01
6.841748307919610639e-01	9.629137595978588978e-05	4.449465383625432757e-01	-1.538461538461538547e-01
4.286172875033824603e-01	7.621469002954513931e-05	4.923620321590106985e-01	-5.128205128205128027e-02
2.434342580973047898e-01	5.743738957127077650e-05	5.378779791881983519e-01	5.128205128205128027e-02
1.467903299946786699e-01	4.460181883060978446e-05	5.805983101456465567e-01	1.538461538461538547e-01
1.397937777760676070e-01	4.352590066607105586e-05	6.209472461550680222e-01	2.564102564102563875e-01
2.128304663546598530e-01	5.370574484892608977e-05	6.597301792396996767e-01	3.589743589743589758e-01
3.478935213532332593e-01	6.866367066284896257e-05	6.970466528846717136e-01	4.615384615384615086e-01
5.194984922641041614e-01	8.390657455947026541e-05	7.321687749092832265e-01	5.641025641025640969e-01
7.028184888137698483e-01	9.759452053603501253e-05	7.642342018578647256e-01	6.666666666666666297e-01
8.801427178451395328e-01	1.092145236555759342e-04	7.927258346837520175e-01	7.692307692307691624e-01
1.043524174354420797e+00	1.189200554676292214e-04	8.176682742397607395e-01	8.717948717948718063e-01
1.189906059871972399e+00	1.269872692086829429e-04	8.392998818501088421e-01	9.743589743589743390e-01
1.318955619398871626e+00	1.336961610626710283e-04	8.579613893403277292e-01	1.076923076923076872e+00
1.431722855513558823e+00	1.392942934713016338e-04	8.740247756384738054e-01	1.179487179487179516e+00
1.529814212650889349e+00	1.439869696322324433e-04	8.878493756632661604e-01	1.282051282051281937e+00
1.615012834408197318e+00	1.479421190017775898e-04	8.997635338414394779e-01	1.384615384615384581e+00
1.689049935017532977e+00	1.512951793473949749e-04	9.100557408907201662e-01	1.487179487179487225e+00
1.753484146446014247e+00	1.541539891486573772e-04	9.189733720812944817e-01	1.589743589743589647e+00
1.809707400720701465e+00	1.566058666025536969e-04	9.267269075096965514e-01	1.692307692307692291e+00
1.858902974499497152e+00	1.587202018315063401e-04	9.334929063113550640e-01	1.794871794871794712e+00
1.902087313019310777e+00	1.605532385781609629e-04	9.394195743224216244e-01	1.897435897435897356e+00
1.940128234778508265e+00	1.621507881342051536e-04	9.446310417957876071e-01	2.000000000000000000e+00
2.072514214707881663e+00	1.675917380159688960e-04	9.627135127526051939e-01	2.500000000000000000e+00
2.150686409200950777e+00	1.707231405441105411e-04	9.733624838516550248e-01	3.000000000000000000e+00
2.233062602742763580e+00	1.739619611935929908e-04	9.845756296304797317e-01	4.000000000000000000e+00
2.272739170573917278e+00	1.755006157023585739e-04	9.899816912377862321e-01	5.000000000000000000e+00
2.307974815881758790e+00	1.768558291483141758e-04	9.947967918623314976e-01	7.000000000000000000e+00
2.316636836956054601e+00	1.771873956445179981e-04	9.959864102041590117e-01	8.000000000000000000e+00
