# energy 	 size (m) 	 pop 	 delta_scan
4.818616568712080475e-31	2.414869484613630627e-04	4.041138537558498257e-03	-8.000000000000000000e+00
4.816127793391320121e-31	2.414245774080909970e-04	4.309094554486199435e-03	-7.750000000000000000e+00
4.813381384825939414e-31	2.413557311160862741e-04	4.604491121921429168e-03	-7.500000000000000000e+00
4.810344256006136138e-31	2.412795742467731036e-04	4.931170448029165328e-03	-7.250000000000000000e+00
4.806972119437469572e-31	2.411949887915397983e-04	5.293694577215912918e-03	-7.000000000000000000e+00
4.803213741907220263e-31	2.411006800393401665e-04	5.697477366027110801e-03	-6.750000000000000000e+00
4.799007960163888576e-31	2.409951008414252767e-04	6.148985970054897561e-03	-6.500000000000000000e+00
4.794282690682215874e-31	2.408764255589406010e-04	6.655987330850718711e-03	-6.250000000000000000e+00
4.788948162441572002e-31	2.407423784223608368e-04	7.227899552664659999e-03	-6.000000000000000000e+00
4.782897293437327657e-31	2.405902405232950459e-04	7.876190163424581087e-03	-5.750000000000000000e+00
4.775995281719724399e-31	2.404165846761146760e-04	8.614978838336947303e-03	-5.500000000000000000e+00
4.768078900133529757e-31	2.402172525334403473e-04	9.461728295960326537e-03	-5.250000000000000000e+00
4.758940087810673945e-31	2.399869340595813384e-04	1.043831781819803267e-02	-5.000000000000000000e+00
4.748317887935893974e-31	2.397189528280414404e-04	1.157236122695895833e-02	-4.750000000000000000e+00
4.735876803228531495e-31	2.394047026074936702e-04	1.289914006136065779e-02	-4.500000000000000000e+00
4.721185806571610648e-31	2.390330897432048243e-04	1.446418115747036617e-02	-4.250000000000000000e+00
4.703675255106210553e-31	2.385893993620372437e-04	1.632712736888853114e-02	-4.000000000000000000e+00
4.682593419650187920e-31	2.380541210055036531e-04	1.856698954450642855e-02	-3.750000000000000000e+00
4.656922365475712320e-31	2.374006904873981582e-04	2.129023201806773402e-02	-3.500000000000000000e+00
4.625270480441704124e-31	2.365925397039257434e-04	2.464244804872717937e-02	-3.250000000000000000e+00
4.585694754764617252e-31	2.355781734360626984e-04	2.882643038189121668e-02	-3.000000000000000000e+00
4.535425990491187431e-31	2.342834016216709581e-04	3.413026976257021311e-02	-2.750000000000000000e+00
4.470450818379876436e-31	2.325991586474587770e-04	4.097109989883357395e-02	-2.500000000000000000e+00
4.384823891751656094e-31	2.303607885567096863e-04	4.996579482422243423e-02	-2.250000000000000000e+00
4.269566580832638533e-31	2.273130525222407175e-04	6.204503530687347640e-02	-2.000000000000000000e+00
4.110909843770543526e-31	2.230496032058900617e-04	7.863669581938105557e-02	-1.750000000000000000e+00
3.887675327795495702e-31	2.169089504853994840e-04	1.019458989668161064e-01	-1.500000000000000000e+00
3.567979313315724212e-31	2.077990906271966318e-04	1.353303065490233936e-01	-1.250000000000000000e+00
3.107870237369077698e-31	1.939384487553341609e-04	1.835679589713799242e-01	-1.000000000000000000e+00
2.461589389914762530e-31	1.725997985363084532e-04	2.522048416679218974e-01	-7.500000000000000000e-01
