# energy 	 size (m) 	 pop 	 delta_scan
2.682976937928737018e-31	1.801942583331237217e-04	9.940516613973330307e-01	8.000000000000000000e+00
2.682506560346985825e-31	1.801784618770315436e-04	9.940053337201442130e-01	7.974358974358974450e+00
2.682029448505229959e-31	1.801624378527369918e-04	9.939583756827086169e-01	7.948717948717948900e+00
2.681547336294604014e-31	1.801462444408917962e-04	9.939109306962096158e-01	7.923076923076923350e+00
2.681058663688870863e-31	1.801298291897946086e-04	9.938628653176917460e-01	7.897435897435897800e+00
2.680564431890628205e-31	1.801132256753350291e-04	9.938142672062900695e-01	7.871794871794872250e+00
2.680063996486788391e-31	1.800964121936327468e-04	9.937650793755139489e-01	7.846153846153845812e+00
2.679557252270915798e-31	1.800793851506815384e-04	9.937152920144922685e-01	7.820512820512820262e+00
2.679044093168876780e-31	1.800621409212048657e-04	9.936648953387464678e-01	7.794871794871794712e+00
2.678524410925016388e-31	1.800446758044412703e-04	9.936138793704807348e-01	7.769230769230769162e+00
2.677997849784113336e-31	1.800269777783762917e-04	9.935622096885812216e-01	7.743589743589743613e+00
2.677463941342099837e-31	1.800090310286368985e-04	9.935098546646202733e-01	7.717948717948718063e+00
2.676923440910936114e-31	1.799908608736409444e-04	9.934568698614917315e-01	7.692307692307692513e+00
2.676376499185113459e-31	1.799724723124354500e-04	9.934032695016872250e-01	7.666666666666666963e+00
2.675822456481153446e-31	1.799538430956218568e-04	9.933489966673292315e-01	7.641025641025641413e+00
2.675261188488150962e-31	1.799349689679490113e-04	9.932940398142457994e-01	7.615384615384614975e+00
2.674692572379219759e-31	1.799158457213035093e-04	9.932383879008480632e-01	7.589743589743589425e+00
2.674116478494365678e-31	1.798964689149166346e-04	9.931820289063519880e-01	7.564102564102563875e+00
2.673532449553712153e-31	1.798768230838182350e-04	9.931249166924371874e-01	7.538461538461538325e+00
2.672940996727696682e-31	1.798569253376771900e-04	9.930671064446153773e-01	7.512820512820512775e+00
2.672340780203386989e-31	1.798367305111347959e-04	9.930084817230033778e-01	7.487179487179487225e+00
2.671732788187815888e-31	1.798162717588678921e-04	9.929491161421073464e-01	7.461538461538461675e+00
2.671117237985402811e-31	1.797955563042692609e-04	9.928890324583378169e-01	7.435897435897436125e+00
2.670493377852925134e-31	1.797745587553543261e-04	9.928281654631608832e-01	7.410256410256410575e+00
2.669861058289253100e-31	1.797532739805478286e-04	9.927665014870252769e-01	7.384615384615385025e+00
2.669220060974714278e-31	1.797316945275376991e-04	9.927040179802273379e-01	7.358974358974358587e+00
2.668570066767144468e-31	1.797098095441567638e-04	9.926406883067308007e-01	7.333333333333333037e+00
2.667911429818831905e-31	1.796876308450998886e-04	9.925765474861316662e-01	7.307692307692307487e+00
2.667243700776421858e-31	1.796651431874068863e-04	9.925115519156886279e-01	7.282051282051281937e+00
2.666565029319858812e-31	1.796422841284888697e-04	9.924455475174256414e-01	7.256410256410256387e+00
2.665878571361083820e-31	1.796191598446721148e-04	9.923787931468921464e-01	7.230769230769230838e+00
2.665182505526635720e-31	1.795957088660775488e-04	9.923111368771750929e-01	7.205128205128205288e+00
2.664476587235105808e-31	1.795719228229522557e-04	9.922425539676474893e-01	7.179487179487179738e+00
2.663760767391000458e-31	1.795477999275175431e-04	9.921730453348122092e-01	7.153846153846154188e+00
2.663034469185294715e-31	1.795233206017512106e-04	9.921025524627329339e-01	7.128205128205127750e+00
2.662298137838950924e-31	1.794984997087584438e-04	9.920311224298236086e-01	7.102564102564102200e+00
2.661551260307324665e-31	1.794733198090511567e-04	9.919587051828964164e-01	7.076923076923076650e+00
2.660793638680421800e-31	1.794477740778350659e-04	9.918852831065322340e-01	7.051282051282051100e+00
2.660023148264117406e-31	1.794217907022662784e-04	9.918106783472363519e-01	7.025641025641025550e+00
2.659243293290997083e-31	1.793954876919193187e-04	9.917351758956590713e-01	7.000000000000000000e+00
