# energy 	 size (m) 	 pop 	 delta_scan
4.839637113467170777e-31	3.333943546067487092e-05	4.692706877120985699e-03	-8.000000000000000000e+00
4.823994509234421596e-31	3.329432593256593354e-05	6.290893669564387100e-03	-7.000000000000000000e+00
4.798587613468770569e-31	2.563522655562097476e-05	8.862946657670081607e-03	-6.000000000000000000e+00
4.753358270095406125e-31	1.951379405349720132e-05	1.338531188531189020e-02	-5.000000000000000000e+00
4.661449771072427822e-31	1.567144550323299758e-05	2.241668264050289405e-02	-4.000000000000000000e+00
4.432907220618546529e-31	1.533058407813490129e-05	4.432119137824514638e-02	-3.000000000000000000e+00
4.174667153041552246e-31	1.492556621374777680e-05	6.856215649556442193e-02	-2.500000000000000000e+00
3.670768005004776218e-31	1.407722650835781858e-05	1.153324944082698977e-01	-2.000000000000000000e+00
3.516882168825579651e-31	1.380840390256681049e-05	1.296238579436684302e-01	-1.897435897435897356e+00
3.340541497586527869e-31	1.348663141116979653e-05	1.460652949403618561e-01	-1.794871794871794712e+00
3.140114246868522661e-31	1.311547928735358710e-05	1.648826141916719390e-01	-1.692307692307692291e+00
2.914790214964413599e-31	1.267740425826039227e-05	1.862633825626481554e-01	-1.589743589743589647e+00
2.665732931859057612e-31	1.217504520994642749e-05	2.102704356539695785e-01	-1.487179487179487225e+00
2.396781179781458892e-31	1.161302854430684004e-05	2.367775122954736688e-01	-1.384615384615384581e+00
2.114586970951559653e-31	1.100313882867295791e-05	2.654399266021725268e-01	-1.282051282051281937e+00
1.828057771377543321e-31	1.036674608336459917e-05	2.957021708481455402e-01	-1.179487179487179516e+00
1.547436417563824414e-31	9.728467748781538253e-06	3.268314841254650327e-01	-1.076923076923076872e+00
1.282465742376567467e-31	9.115752376483231522e-06	3.580309489513249233e-01	-9.743589743589743390e-01
1.041097231652124032e-31	8.548392939967011013e-06	3.885335110516842105e-01	-8.717948717948718063e-01
8.284232168432365430e-32	8.039145049842588643e-06	4.177142461641769611e-01	-7.692307692307691624e-01
6.465638432012467855e-32	7.594108945709242289e-06	4.451445466406144247e-01	-6.666666666666666297e-01
4.950383527199603160e-32	7.211948697477177150e-06	4.706163845177218641e-01	-5.641025641025640969e-01
3.716588165291280704e-32	6.888663798934059624e-06	4.941062507314851748e-01	-4.615384615384615086e-01
2.732900557183110997e-32	6.618085025449134558e-06	5.157398629603096030e-01	-3.589743589743589758e-01
1.966144187107789569e-32	6.393643464986769013e-06	5.357261459789627311e-01	-2.564102564102563875e-01
1.385587521145577099e-32	6.209453964779612393e-06	5.543144657962998378e-01	-1.538461538461538547e-01
9.651254503233543570e-33	6.059899563641843024e-06	5.717685969130749113e-01	-5.128205128205128027e-02
6.846087165307935799e-33	5.940946623676944056e-06	5.883297901646955541e-01	5.128205128205128027e-02
5.291162077204475295e-33	5.848738116094018323e-06	6.042345449581199013e-01	1.538461538461538547e-01
4.889960307810384522e-33	5.794308989363954858e-06	6.196894233475871427e-01	2.564102564102563875e-01
5.590419315733859102e-33	5.845202011646875832e-06	6.348837249987122622e-01	3.589743589743589758e-01
7.379822471428879562e-33	5.918441544378241595e-06	6.499887564550766994e-01	4.615384615384615086e-01
1.027956000947886013e-32	6.015447594960730706e-06	6.651597733145838687e-01	5.641025641025640969e-01
1.433867749119648080e-32	6.137893670737609252e-06	6.805330112014771338e-01	6.666666666666666297e-01
1.962754100900863062e-32	6.288181005344632100e-06	6.962264523309875663e-01	7.692307692307691624e-01
2.622462885270417647e-32	6.468587565754336087e-06	7.123261677423509131e-01	8.717948717948718063e-01
3.420356608338406683e-32	6.681692720444659023e-06	7.288831546913956405e-01	9.743589743589743390e-01
4.361092821942203585e-32	6.929438462829871281e-06	7.458970830071809388e-01	1.076923076923076872e+00
5.444008274484944265e-32	7.212779245268894624e-06	7.633044351114270931e-01	1.179487179487179516e+00
6.660216874837270949e-32	7.530558615048836386e-06	7.809675490639265139e-01	1.282051282051281937e+00
7.990429447999089978e-32	7.879372257956937962e-06	7.986749582157131044e-01	1.384615384615384581e+00
9.404459240206935870e-32	8.251818728022717941e-06	8.161555332542049790e-01	1.487179487179487225e+00
1.086218805480108092e-31	8.636746767577937106e-06	8.330966757718641924e-01	1.589743589743589647e+00
1.231898529178019376e-31	9.022315224631144743e-06	8.491959185140880439e-01	1.692307692307692291e+00
1.373137384028041860e-31	9.394265754779114526e-06	8.641956337221955442e-01	1.794871794871794712e+00
1.506415899893115222e-31	9.740986515362552012e-06	8.779252740306283664e-01	1.897435897435897356e+00
1.629320961387247696e-31	1.005649915716015656e-05	8.903049399288500698e-01	2.000000000000000000e+00
2.067288301171898057e-31	1.113190394136342106e-05	9.331557818007798488e-01	2.500000000000000000e+00
2.307207447187653504e-31	1.167674234653679742e-05	9.563878953443624154e-01	3.000000000000000000e+00
2.524732937756613805e-31	1.213915916615724411e-05	9.777482367595022872e-01	4.000000000000000000e+00
2.613167447290348636e-31	1.231768577614908447e-05	9.866347291592248991e-01	5.000000000000000000e+00
2.656847542139020043e-31	2.557721628898545623e-05	9.911015534651885783e-01	6.000000000000000000e+00
2.681428659787800916e-31	2.558012966661994927e-05	9.936477512676562540e-01	7.000000000000000000e+00
2.696578836133243000e-31	2.558195229706975072e-05	9.952322735354343086e-01	8.000000000000000000e+00
