# energy 	 size (m) 	 pop 	 delta_scan
4.206733758536429058e+00	2.387681306205122515e-04	4.102476491343960176e-03	-8.000000000000000000e+00
4.196310836044192527e+00	2.384721521608676898e-04	5.385827176270280639e-03	-7.000000000000000000e+00
4.152960683107480122e+00	2.372371814630109643e-04	1.069444528225954941e-02	-5.000000000000000000e+00
4.102529511794001493e+00	2.357923456558321310e-04	1.682853055899558373e-02	-4.000000000000000000e+00
3.993430274437069549e+00	2.326359876938815683e-04	2.999703357087551633e-02	-3.000000000000000000e+00
3.885468839522926210e+00	2.294698126596813237e-04	4.293588156810151935e-02	-2.500000000000000000e+00
3.695023738479243924e+00	2.237754619385871858e-04	6.562239695998475786e-02	-2.000000000000000000e+00
3.638853777000869982e+00	2.220680853095737114e-04	7.229159710012203477e-02	-1.897435897435897356e+00
3.574421978861683336e+00	2.200932669156337282e-04	7.993359621031836948e-02	-1.794871794871794712e+00
3.500255964903105976e+00	2.177979301361019444e-04	8.872234286658399471e-02	-1.692307692307692291e+00
3.414605741753693025e+00	2.151167010207776463e-04	9.886553457638472264e-02	-1.589743589743589647e+00
3.315423499414517750e+00	2.119694883828052016e-04	1.106079522293564876e-01	-1.487179487179487225e+00
3.200359042327451498e+00	2.082587214205462777e-04	1.242342330809078910e-01	-1.384615384615384581e+00
3.066752749489372931e+00	2.038652610054397958e-04	1.400720636619867399e-01	-1.282051282051281937e+00
2.911750587859535777e+00	1.986465065334331670e-04	1.584838572096009257e-01	-1.179487179487179516e+00
2.732453246998164609e+00	1.924332947883031350e-04	1.798563802478840845e-01	-1.076923076923076872e+00
2.526338687313221865e+00	1.850331883241074498e-04	2.045639423947391844e-01	-9.743589743589743390e-01
2.291798928065188701e+00	1.762349752522572274e-04	2.329220264611460145e-01	-8.717948717948718063e-01
2.029140177118671673e+00	1.658287667308543426e-04	2.650953677102508843e-01	-7.692307692307691624e-01
1.741775044596899136e+00	1.536384361137859756e-04	3.009891591236747432e-01	-6.666666666666666297e-01
1.437881327816514343e+00	1.395935551393235382e-04	3.400890076406567486e-01	-5.641025641025640969e-01
1.129917161369784928e+00	1.237448542020223071e-04	3.815217556508070929e-01	-4.615384615384615086e-01
8.390667370922337831e-01	1.066355708761920605e-04	4.234996520588681368e-01	-3.589743589743589758e-01
5.863382115224731184e-01	8.914109095013834992e-05	4.640864625748741812e-01	-2.564102564102563875e-01
3.857178560583862659e-01	7.230007003242888046e-05	5.017832329173191885e-01	-1.538461538461538547e-01
2.403791534410681940e-01	5.707583142311095295e-05	5.359917759914126778e-01	-5.128205128205128027e-02
1.454537719930839579e-01	4.439829985113040683e-05	5.669862460750989541e-01	5.128205128205128027e-02
9.367641550162364439e-02	3.563025889497921519e-05	5.955200295847913328e-01	1.538461538461538547e-01
7.914185913947924256e-02	3.274967314940634112e-05	6.224695129283444039e-01	2.564102564102563875e-01
9.850893946679728508e-02	3.653773887296596357e-05	6.486416795011695768e-01	3.589743589743589758e-01
1.506367497379828002e-01	4.518240187651031622e-05	6.746787970613827845e-01	4.615384615384615086e-01
2.352542472403993390e-01	5.646412238171320271e-05	7.009751416125683532e-01	5.641025641025640969e-01
3.508481744869793584e-01	6.895463381463976026e-05	7.275758067615254454e-01	6.666666666666666297e-01
4.923773048863486768e-01	8.168698357045822386e-05	7.541064474218756031e-01	7.692307692307691624e-01
6.505574333075230253e-01	9.389590834523965028e-05	7.798596542920568364e-01	8.717948717948718063e-01
8.139800696375476541e-01	1.050293630064564509e-04	8.040569575698033322e-01	9.743589743589743390e-01
9.726283356858791418e-01	1.148093623211975312e-04	8.261269457381914538e-01	1.076923076923076872e+00
1.119505459230511146e+00	1.231734068597206049e-04	8.457622572700471686e-01	1.179487179487179516e+00
1.252081226008393777e+00	1.302627066083349074e-04	8.630248384191472333e-01	1.282051282051281937e+00
1.369750240644237671e+00	1.362462439987285803e-04	8.780822691484873044e-01	1.384615384615384581e+00
1.473157572731724763e+00	1.412955379323470176e-04	8.911625088008348072e-01	1.487179487179487225e+00
1.563577341514301722e+00	1.455672005477928201e-04	9.025113212581092892e-01	1.589743589743589647e+00
1.642492697575053118e+00	1.491954468695594468e-04	9.123647030498631683e-01	1.692307692307692291e+00
1.711376251968044659e+00	1.522918268850801651e-04	9.209357221924467929e-01	1.794871794871794712e+00
1.771582196703683554e+00	1.549474736007817801e-04	9.284102716573349179e-01	1.897435897435897356e+00
1.824321981471841436e+00	1.572369429018560371e-04	9.349488413523037167e-01	2.000000000000000000e+00
2.004637704233030338e+00	1.648245099373636766e-04	9.572844823346384757e-01	2.500000000000000000e+00
2.107732074279371925e+00	1.690096677955407018e-04	9.700804285790796122e-01	3.000000000000000000e+00
2.212449721546410064e+00	1.731571985545858952e-04	9.831424909121648792e-01	4.000000000000000000e+00
2.261021577138818905e+00	1.750476155617097654e-04	9.892408039402958986e-01	5.000000000000000000e+00
2.302853849294223654e+00	1.766595151063226851e-04	9.945265590754581719e-01	7.000000000000000000e+00
2.312923188184701218e+00	1.770453199296078133e-04	9.958057219123634951e-01	8.000000000000000000e+00
