# energy 	 size (m) 	 pop 	 delta_scan
4.217880108107444848e+00	2.390842467094107164e-04	3.978083805448394059e-03	-8.000000000000000000e+00
4.208067915884906363e+00	2.388059900408040059e-04	5.199349163678089122e-03	-7.000000000000000000e+00
4.167920213219395542e+00	2.376640776964581336e-04	1.017924159889043584e-02	-5.000000000000000000e+00
4.122232447920783471e+00	2.363578792917270222e-04	1.582516793326676358e-02	-4.000000000000000000e+00
4.026002475736526698e+00	2.335828024740997308e-04	2.767262136517999183e-02	-3.000000000000000000e+00
3.933249084182045330e+00	2.308764154414218541e-04	3.905467164687239506e-02	-2.500000000000000000e+00
3.773571122772201747e+00	2.261414204747910957e-04	5.859760337689566556e-02	-2.000000000000000000e+00
3.727158814528253039e+00	2.247464265058359988e-04	6.427020644124387116e-02	-1.897435897435897356e+00
3.674208481761880307e+00	2.231442721975431139e-04	7.073944565919848548e-02	-1.794871794871794712e+00
3.613564291932960693e+00	2.212950700287056953e-04	7.814618213270678460e-02	-1.692307692307692291e+00
3.543857611886845227e+00	2.191502537994293766e-04	8.665838535100221784e-02	-1.589743589743589647e+00
3.463451763955172957e+00	2.166498624585166510e-04	9.647709151405187145e-02	-1.487179487179487225e+00
3.370413163995685579e+00	2.137201237978223964e-04	1.078411597614962192e-01	-1.384615384615384581e+00
3.262493486714624247e+00	2.102706574226727017e-04	1.210311454079903981e-01	-1.282051282051281937e+00
3.137105722010528730e+00	2.061903915457482465e-04	1.363732413996221471e-01	-1.179487179487179516e+00
2.991361790951819088e+00	2.013438259831621974e-04	1.542381831843466222e-01	-1.076923076923076872e+00
2.822209479962355161e+00	1.955683038030254833e-04	1.750306610429854526e-01	-9.743589743589743390e-01
2.626645170788703965e+00	1.886707388570561794e-04	1.991704129517070099e-01	-8.717948717948718063e-01
2.402148004768119183e+00	1.804279135616482178e-04	2.270523022450903206e-01	-7.692307692307691624e-01
2.147430256205513199e+00	1.705938536262648325e-04	2.589756502668050242e-01	-6.666666666666666297e-01
1.863442045768995747e+00	1.589138652609125354e-04	2.950502501613250228e-01	-5.641025641025640969e-01
1.554812849745045966e+00	1.451586453063276826e-04	3.350655247695387695e-01	-4.615384615384615086e-01
1.231598074433974510e+00	1.291928106169962221e-04	3.783461179794626039e-01	-3.589743589743589758e-01
9.098283191553111493e-01	1.110410528966136127e-04	4.237451922058844134e-01	-2.564102564102563875e-01
6.144459194007536595e-01	9.125269049952723904e-05	4.693672001025360752e-01	-1.538461538461538547e-01
3.744600910439106478e-01	7.123716294930896263e-05	5.128755348919267210e-01	-5.128205128205128027e-02
2.071140434251481643e-01	5.297959323568354734e-05	5.528565212321565614e-01	5.128205128205128027e-02
1.137450623600679833e-01	3.926179240966321812e-05	5.892899781587397356e-01	1.538461538461538547e-01
8.708688464382219330e-02	3.435423034792353246e-05	6.231815939655090952e-01	2.564102564102563875e-01
1.201013213748225450e-01	4.034388699711225753e-05	6.557599983949955469e-01	3.589743589743589758e-01
2.074342619982596503e-01	5.302053323455363688e-05	6.878676546660418278e-01	4.615384615384615086e-01
3.410056465514821333e-01	6.798054328719317001e-05	7.195961168759051896e-01	5.641025641025640969e-01
5.060759584867364769e-01	8.281551349845449057e-05	7.502737745302453520e-01	6.666666666666666297e-01
6.840880196462060248e-01	9.628526682694730056e-05	7.789386681562346926e-01	7.692307692307691624e-01
8.592085967865066287e-01	1.079078781209220412e-04	8.048647815478335854e-01	8.717948717948718063e-01
1.021786460528006479e+00	1.176749216217457829e-04	8.277637256403846955e-01	9.743589743589743390e-01
1.168299562373403155e+00	1.258290601912580558e-04	8.477559933919361912e-01	1.076923076923076872e+00
1.297983407027133218e+00	1.326289758972607933e-04	8.650889134219647003e-01	1.179487179487179516e+00
1.411609409483154387e+00	1.383124002936286475e-04	8.800649925986365751e-01	1.282051282051281937e+00
1.510666232221110850e+00	1.430830228382092820e-04	8.929949079126154876e-01	1.384615384615384581e+00
1.596859116080167063e+00	1.471082898709604478e-04	9.041688117616487608e-01	1.487179487179487225e+00
1.671875082684171954e+00	1.505240027073778306e-04	9.138457682781117031e-01	1.589743589743589647e+00
1.737257643676821672e+00	1.534390713874494788e-04	9.222498542914945308e-01	1.692307692307692291e+00
1.794380218983415709e+00	1.559412755860275666e-04	9.295727650041181178e-01	1.794871794871794712e+00
1.844430034402481322e+00	1.581011171491024402e-04	9.359763255261241977e-01	1.897435897435897356e+00
1.888413423216626086e+00	1.599750981530308409e-04	9.415960923933116566e-01	2.000000000000000000e+00
2.040528889910103061e+00	1.662934792436037334e-04	9.609920693215041609e-01	2.500000000000000000e+00
2.129379380971000657e+00	1.698753513976671990e-04	9.723108748834411452e-01	3.000000000000000000e+00
2.221895075607859038e+00	1.735264248365134536e-04	9.841092714366249661e-01	4.000000000000000000e+00
2.265928302321916110e+00	1.752374512246877576e-04	9.897381063833379233e-01	5.000000000000000000e+00
2.304681845448920630e+00	1.767296170049111742e-04	9.947068428761627334e-01	7.000000000000000000e+00
2.314161188893321341e+00	1.770926956727737593e-04	9.959260304531634134e-01	8.000000000000000000e+00
