# energy 	 size (m) 	 pop 	 delta_scan
4.296069651711884596e+00	2.412900996894027175e-04	7.146036925788251323e-03	-8.000000000000000000e+00
4.263967186564466161e+00	2.403868866933463362e-04	1.042645548290599758e-02	-7.000000000000000000e+00
4.053340405285454473e+00	2.343745141863682094e-04	3.081231767532304627e-02	-5.000000000000000000e+00
3.604713063209627144e+00	2.210238787552599256e-04	7.224610498909704581e-02	-4.000000000000000000e+00
2.388430291427240171e+00	1.799119998801562844e-04	1.903956234974441830e-01	-3.000000000000000000e+00
1.635139241063430227e+00	1.488610974618504086e-04	2.755554349987835439e-01	-2.500000000000000000e+00
9.976747063054864917e-01	1.162782071199709006e-04	3.614826480197104175e-01	-2.000000000000000000e+00
8.890174548742300065e-01	1.097637636199550826e-04	3.782098181906550782e-01	-1.897435897435897356e+00
7.884349617391259724e-01	1.033681593364344582e-04	3.944785044350787584e-01	-1.794871794871794712e+00
6.959092335322609735e-01	9.711362048783163728e-05	4.102411014977992432e-01	-1.692307692307692291e+00
6.113363040828865280e-01	9.102148976742422955e-05	4.254581346323718649e-01	-1.589743589743589647e+00
5.345012799534305525e-01	8.510953557381346240e-05	4.401040034035114124e-01	-1.487179487179487225e+00
4.651239891811922433e-01	7.939409735339045108e-05	4.541622587808454292e-01	-1.384615384615384581e+00
4.028097190953523477e-01	7.388458125567649740e-05	4.676372502169582335e-01	-1.282051282051281937e+00
3.471651124746095718e-01	6.859175004373375376e-05	4.805349131665226370e-01	-1.179487179487179516e+00
2.977098414416947669e-01	6.351853042176252640e-05	4.928821488913113225e-01	-1.076923076923076872e+00
2.539843562145143174e-01	5.866881680815854653e-05	5.047076072898207810e-01	-9.743589743589743390e-01
2.155513989365773764e-01	5.404795530935876534e-05	5.160407716771626685e-01	-8.717948717948718063e-01
1.819636598349845258e-01	4.965879506446003327e-05	5.269220130441297778e-01	-7.692307692307691624e-01
1.528255918007461744e-01	4.550948165583874926e-05	5.373875531727801969e-01	-6.666666666666666297e-01
1.277719993495962658e-01	4.161229715983552353e-05	5.474757136218952880e-01	-5.641025641025640969e-01
1.064844889946203743e-01	3.798805179283460461e-05	5.572213320378931467e-01	-4.615384615384615086e-01
8.867702072543859337e-02	3.466645179827391933e-05	5.666606468478345704e-01	-3.589743589743589758e-01
7.410498140913035492e-02	3.169038732374277053e-05	5.758276148690413265e-01	-2.564102564102563875e-01
6.255955787709610583e-02	2.911727185509915787e-05	5.847548122278042326e-01	-1.538461538461538547e-01
5.386373786572029587e-02	2.701793110149784295e-05	5.934752741837971968e-01	-5.128205128205128027e-02
4.787504907401984866e-02	2.547173113784873737e-05	6.020189616651623332e-01	5.128205128205128027e-02
4.447960980960719013e-02	2.455185611665170459e-05	6.104156892821845926e-01	1.538461538461538547e-01
4.359209817240738971e-02	2.430567756742997056e-05	6.186934894655500283e-01	2.564102564102563875e-01
4.515341015664797730e-02	2.473711930402440007e-05	6.268789318220078233e-01	3.589743589743589758e-01
4.912884363289182765e-02	2.580311375025470241e-05	6.349972975696740463e-01	4.615384615384615086e-01
5.550664303798380494e-02	2.742687500033870294e-05	6.430725184022778596e-01	5.641025641025640969e-01
6.429709272927408570e-02	2.951885542629973221e-05	6.511276358728147473e-01	6.666666666666666297e-01
7.553012002856940299e-02	3.199366059818724636e-05	6.591840846713699076e-01	7.692307692307691624e-01
8.925636927029190204e-02	3.477950962100408156e-05	6.672633108613157393e-01	8.717948717948718063e-01
1.055415157732648712e-01	3.781947619185017110e-05	6.753843596483076750e-01	9.743589743589743390e-01
1.244741681477732342e-01	4.107177405579204521e-05	6.835683304770708846e-01	1.076923076923076872e+00
1.461515447473311635e-01	4.450466649282800195e-05	6.918326440534121602e-01	1.179487179487179516e+00
1.706870273436691399e-01	4.809546227087582048e-05	7.001950521729051191e-01	1.282051282051281937e+00
1.982056576174979767e-01	5.182769201840535165e-05	7.086723352469461723e-01	1.384615384615384581e+00
2.288259978396687266e-01	5.568734702024372136e-05	7.172759014006920841e-01	1.487179487179487225e+00
2.626750314896424410e-01	5.966412039737088225e-05	7.260172242231586193e-01	1.589743589743589647e+00
2.998784987631932797e-01	6.374945993396138866e-05	7.349051200067313605e-01	1.692307692307692291e+00
3.405349163474611363e-01	6.793360631345754508e-05	7.439415829079428777e-01	1.794871794871794712e+00
3.847304137614424580e-01	7.220746620833171385e-05	7.531256921211646471e-01	1.897435897435897356e+00
4.325458112733420180e-01	7.656316906590608282e-05	7.624558877114888666e-01	2.000000000000000000e+00
7.174737291416601881e-01	9.860679602076911400e-05	8.096051292947135103e-01	2.500000000000000000e+00
1.076120479525313645e+00	1.207631114731213786e-04	8.573998225499386283e-01	3.000000000000000000e+00
1.789836769070679345e+00	1.557437253590253292e-04	9.347367923097482656e-01	4.000000000000000000e+00
2.156343331401768371e+00	1.709475185129831346e-04	9.702583838127220028e-01	5.000000000000000000e+00
2.352664348551438689e+00	1.785598578776032203e-04	9.896719685528270194e-01	7.000000000000000000e+00
2.383397034959750194e+00	1.797223312058167041e-04	9.928669984854552322e-01	8.000000000000000000e+00
