# energy 	 size (m) 	 pop 	 delta_scan
4.326437262310057541e+00	2.421414011286667390e-04	4.240069378225743216e-03	-8.000000000000000000e+00
4.314961903510146968e+00	2.418200623165027191e-04	5.593820645733775694e-03	-7.000000000000000000e+00
4.266328872187987287e+00	2.404534490800527499e-04	1.128436067472058171e-02	-5.000000000000000000e+00
4.208300993511818078e+00	2.388126034752652055e-04	1.800340990769205840e-02	-4.000000000000000000e+00
4.078843456486072938e+00	2.351106838725653650e-04	3.281380845842759436e-02	-3.000000000000000000e+00
3.946797114209515733e+00	2.312736991691599522e-04	4.775250541874319354e-02	-2.500000000000000000e+00
3.707382229181893862e+00	2.241493727174731889e-04	7.458499360263436129e-02	-2.000000000000000000e+00
3.635654266660306888e+00	2.219704356884775554e-04	8.258466392654272015e-02	-1.897435897435897356e+00
3.552962855453791313e+00	2.194316048853929069e-04	9.179401247389322449e-02	-1.794871794871794712e+00
3.457347683050315368e+00	2.164588634823050740e-04	1.024310252961358331e-01	-1.692307692307692291e+00
3.346558725248133470e+00	2.129624679664029584e-04	1.147491089855677410e-01	-1.589743589743589647e+00
3.218040042104814979e+00	2.088332117468094423e-04	1.290410058408270055e-01	-1.487179487179487225e+00
3.069040993639928772e+00	2.039413034098208318e-04	1.456312169598619199e-01	-1.384615384615384581e+00
2.896726991131413520e+00	1.981333711411731552e-04	1.648702416594935993e-01	-1.282051282051281937e+00
2.698522156367688218e+00	1.912347621412903778e-04	1.871079271010316625e-01	-1.179487179487179516e+00
2.472665602004755492e+00	1.830570838001358361e-04	2.126477653518861199e-01	-1.076923076923076872e+00
2.218998676289166916e+00	1.734132858936801233e-04	2.416818476747533140e-01	-9.743589743589743390e-01
1.940194776521634079e+00	1.621535688018393192e-04	2.741796200781050352e-01	-8.717948717948718063e-01
1.642387625608556334e+00	1.491906746992682699e-04	3.098330505278393820e-01	-7.692307692307691624e-01
1.337381638262388872e+00	1.346268003120383149e-04	3.478244768900944361e-01	-6.666666666666666297e-01
1.042482202597694307e+00	1.188606690684665884e-04	3.867501913549324377e-01	-5.641025641025640969e-01
7.756008299135954687e-01	1.025233948349966550e-04	4.249746155401209480e-01	-4.615384615384615086e-01
5.502339308970429776e-01	8.635301987542012153e-05	4.610453068504686835e-01	-3.589743589743589758e-01
3.719393123827012815e-01	7.099698200983340420e-05	4.940845492777136139e-01	-2.564102564102563875e-01
2.388841287853800122e-01	5.689806462401196893e-05	5.239133295053293171e-01	-1.538461538461538547e-01
1.453063326672583422e-01	4.437579196081267903e-05	5.508686044797796999e-01	-5.128205128205128027e-02
8.479255654463191405e-02	3.389867402465278221e-05	5.755397910745285728e-01	5.128205128205128027e-02
5.210959266874293228e-02	2.657435210855323487e-05	5.985764411445797517e-01	1.538461538461538547e-01
4.380419852701855632e-02	2.436473628975614005e-05	6.205915760291899064e-01	2.564102564102563875e-01
5.817167784100063521e-02	2.807757791246833027e-05	6.421274963184943063e-01	3.589743589743589758e-01
9.496459159427650398e-02	3.587440430349776060e-05	6.636468867012893513e-01	4.615384615384615086e-01
1.549469993037946303e-01	4.582425689126477125e-05	6.855169554196443027e-01	5.641025641025640969e-01
2.392015794632087466e-01	5.693585770081978061e-05	7.079725757674414366e-01	6.666666666666666297e-01
3.480587574605107370e-01	6.867997503484765849e-05	7.310540945625159104e-01	7.692307692307691624e-01
4.797787188830102689e-01	8.063513847764897417e-05	7.545495603782246263e-01	8.717948717948718063e-01
6.294747076141147257e-01	9.236192763946782301e-05	7.779784590070952799e-01	9.743589743589743390e-01
7.893141069331732762e-01	1.034257736649985004e-04	8.006864947685481404e-01	1.076923076923076872e+00
9.503382541501048664e-01	1.134861731735036037e-04	8.220311619258021674e-01	1.179487179487179516e+00
1.104738887522883406e+00	1.223583654549810929e-04	8.415422015035469716e-01	1.282051282051281937e+00
1.247136486370961528e+00	1.300052343486981479e-04	8.589740825575157279e-01	1.384615384615384581e+00
1.375373615684799766e+00	1.365256303286960292e-04	8.743459278797167666e-01	1.487179487179487225e+00
1.489205309447831027e+00	1.420630498062786743e-04	8.878028278447379629e-01	1.589743589743589647e+00
1.589324873641653646e+00	1.467608390701181389e-04	8.995332604167117774e-01	1.692307692307692291e+00
1.676993628397201341e+00	1.507542457417743013e-04	9.097466439923053150e-01	1.794871794871794712e+00
1.753611051271272370e+00	1.541595673374172382e-04	9.186420285843551747e-01	1.897435897435897356e+00
1.820592156747979917e+00	1.570761252645782766e-04	9.264038160662074750e-01	2.000000000000000000e+00
2.047045905845550795e+00	1.665588205803367531e-04	9.526359807590346618e-01	2.500000000000000000e+00
2.173430150992227361e+00	1.716234743760761063e-04	9.673476987493272450e-01	3.000000000000000000e+00
2.298128877931238545e+00	1.764781879776295423e-04	9.819978885274924796e-01	4.000000000000000000e+00
2.354238893484631223e+00	1.786195993988868669e-04	9.886650193108971196e-01	5.000000000000000000e+00
2.401361651155295984e+00	1.803983792126878248e-04	9.943232338225038713e-01	7.000000000000000000e+00
2.412493326877044542e+00	1.808160202669647403e-04	9.956711615724057607e-01	8.000000000000000000e+00
