# energy 	 size (m) 	 pop 	 delta_scan
4.544866848634977252e+00	2.481786558011227651e-04	3.987503969368848093e-03	-8.000000000000000000e+00
4.534242249821904380e+00	2.478884007107244581e-04	5.213419520530480217e-03	-7.000000000000000000e+00
4.490718670472237939e+00	2.466958082764803689e-04	1.021767268867788785e-02	-5.000000000000000000e+00
4.441107493209079493e+00	2.453293388323506000e-04	1.589931357163420697e-02	-4.000000000000000000e+00
4.336394463624272611e+00	2.424198825766031476e-04	2.784213217499741100e-02	-3.000000000000000000e+00
4.235257421890431750e+00	2.395762440477774275e-04	3.933519071478742968e-02	-2.500000000000000000e+00
4.060788724870892707e+00	2.345897557999042154e-04	5.910064413141266626e-02	-2.000000000000000000e+00
4.010007407461571916e+00	2.331183354023530399e-04	6.484380741182568797e-02	-1.897435897435897356e+00
3.952045753057943145e+00	2.314274274694546414e-04	7.139588524852316653e-02	-1.794871794871794712e+00
3.885626339325770395e+00	2.294744634605883397e-04	7.890039243420828019e-02	-1.692307692307692291e+00
3.809232311599170195e+00	2.272074542550088744e-04	8.752868435482408227e-02	-1.589743589743589647e+00
3.721063988680095136e+00	2.245625933446397605e-04	9.748499243600391995e-02	-1.487179487179487225e+00
3.618989891888516830e+00	2.214611398810506710e-04	1.090120789467254742e-01	-1.384615384615384581e+00
3.500528828104535251e+00	2.178064192127469217e-04	1.223949843484025829e-01	-1.282051282051281937e+00
3.362822779768301906e+00	2.134793325146706444e-04	1.379650703814365442e-01	-1.179487179487179516e+00
3.202695263383560587e+00	2.083347206513140018e-04	1.560971772479386455e-01	-1.076923076923076872e+00
3.016783905019191359e+00	2.021975770418138431e-04	1.771996986981177746e-01	-9.743589743589743390e-01
2.801789868197109179e+00	1.948595189735408443e-04	2.016937745982920471e-01	-8.717948717948718063e-01
2.554984325937105893e+00	1.860792581633707995e-04	2.299687695738936444e-01	-7.692307692307691624e-01
2.274967119393955350e+00	1.755866155866673162e-04	2.623149598025698026e-01	-6.666666666666666297e-01
1.962840479815182615e+00	1.630971412501517801e-04	2.988200529579538300e-01	-5.641025641025640969e-01
1.623799114849833192e+00	1.483440036735564284e-04	3.392350906765388419e-01	-4.615384615384615086e-01
1.269053497269817754e+00	1.311426064624960795e-04	3.828270674477021740e-01	-3.589743589743589758e-01
9.161518771925152294e-01	1.114262677072620929e-04	4.284146361189931085e-01	-2.564102564102563875e-01
5.951654721006889304e-01	8.980958921659178433e-05	4.737977490138901016e-01	-1.538461538461538547e-01
3.389055265296700981e-01	6.777088724053807484e-05	5.164733611587294382e-01	-5.128205128205128027e-02
1.649669590222857529e-01	4.728270675257630214e-05	5.550430974735802714e-01	5.128205128205128027e-02
7.137348473546767380e-02	3.110085271171706328e-05	5.897646663466581396e-01	1.538461538461538547e-01
4.799190193799085513e-02	2.550279774547088910e-05	6.219725808383194110e-01	2.564102564102563875e-01
8.742349128839954631e-02	3.442055899021633061e-05	6.531561369922088689e-01	3.589743589743589758e-01
1.858994324538485454e-01	5.019296809057666642e-05	6.843571619399171357e-01	4.615384615384615086e-01
3.369122976498306610e-01	6.757130050703648500e-05	7.157591302082421114e-01	5.641025641025640969e-01
5.248091518502218111e-01	8.433435851065315366e-05	7.465885210952762918e-01	6.666666666666666297e-01
7.277098749867860761e-01	9.930771290832905306e-05	7.756534095956914010e-01	7.692307692307691624e-01
9.266052910717041957e-01	1.120601588536916155e-04	8.020322381125569722e-01	8.717948717948718063e-01
1.110285473517314436e+00	1.226651444960935762e-04	8.253426336434280808e-01	9.743589743589743390e-01
1.275149412060610388e+00	1.314572017226400824e-04	8.456987266432096639e-01	1.076923076923076872e+00
1.420563858682938552e+00	1.387503944921168817e-04	8.633416603921038046e-01	1.179487179487179516e+00
1.547591577694786835e+00	1.448211609526013459e-04	8.785772001203712156e-01	1.282051282051281937e+00
1.658070901223226201e+00	1.499012984338567557e-04	8.917243577006016553e-01	1.384615384615384581e+00
1.754012546677437001e+00	1.541772140144641345e-04	9.030799050157473085e-01	1.487179487179487225e+00
1.837373204825561768e+00	1.577983781372380840e-04	9.129088625083011665e-01	1.589743589743589647e+00
1.909922946428352919e+00	1.608835975884160998e-04	9.214403289114984075e-01	1.692307692307692291e+00
1.973225649023076400e+00	1.635280364040862854e-04	9.288702784438702675e-01	1.794871794871794712e+00
2.028617366761117591e+00	1.658074023660558046e-04	9.353635226854537521e-01	1.897435897435897356e+00
2.077256498264036466e+00	1.677833684073329226e-04	9.410598464463009183e-01	2.000000000000000000e+00
2.245065536540910678e+00	1.744288660493567859e-04	9.606947118251299989e-01	2.500000000000000000e+00
2.342777135539076738e+00	1.781842585870729379e-04	9.721317149743373687e-01	3.000000000000000000e+00
2.444233530739443605e+00	1.820015952832725666e-04	9.840310712834761109e-01	4.000000000000000000e+00
2.492398752656239225e+00	1.837860773674245246e-04	9.896976257903165042e-01	5.000000000000000000e+00
2.534703746088209364e+00	1.853392704744954978e-04	9.946920308568635294e-01	7.000000000000000000e+00
2.545037675895436724e+00	1.857166981802960430e-04	9.959161149434246907e-01	8.000000000000000000e+00
