# energy 	 size (m) 	 pop 	 delta_scan
3.960629121843465938e+00	2.316786074507330522e-04	6.770672256118408748e-03	-8.000000000000000000e+00
3.933803782744365485e+00	2.308926948961477423e-04	9.753637404170270933e-03	-7.000000000000000000e+00
3.767956785983440859e+00	2.259731307236999851e-04	2.729974120365586884e-02	-5.000000000000000000e+00
3.436621562358562088e+00	2.158090739801511813e-04	6.068536733840460690e-02	-4.000000000000000000e+00
2.436970125132519094e+00	1.817309715996018630e-04	1.636968862604766262e-01	-3.000000000000000000e+00
1.712508195115912457e+00	1.523421831974896483e-04	2.481829101937461646e-01	-2.500000000000000000e+00
1.057669378220267298e+00	1.197233364582508464e-04	3.383716209170902212e-01	-2.000000000000000000e+00
9.433864991249083509e-01	1.130703337968672490e-04	3.562868389788141354e-01	-1.897435897435897356e+00
8.370386332787065342e-01	1.065066187668837458e-04	3.737967933360351047e-01	-1.794871794871794712e+00
7.387811180950680789e-01	1.000602859021373605e-04	3.908325845902865803e-01	-1.692307692307692291e+00
6.485901123881763208e-01	9.375382769239943637e-05	4.073453673225910787e-01	-1.589743589743589647e+00
5.663780664539805887e-01	8.761068161073051383e-05	4.232893689607188925e-01	-1.487179487179487225e+00
4.919391623317155293e-01	8.165063084977436185e-05	4.386346067356600154e-01	-1.384615384615384581e+00
4.249362625085342238e-01	7.588671314390510599e-05	4.533730026862909934e-01	-1.282051282051281937e+00
3.649855870815237324e-01	7.033017585950391963e-05	4.675061136349590862e-01	-1.179487179487179516e+00
3.116652447237791002e-01	6.499022391283404735e-05	4.810455793524117118e-01	-1.076923076923076872e+00
2.645106702289066192e-01	5.987223133661177815e-05	4.940163767412913964e-01	-9.743589743589743390e-01
2.230492451840997425e-01	5.497993535148290898e-05	5.064521389486148495e-01	-8.717948717948718063e-01
1.868308087476362456e-01	5.031854709958112826e-05	5.183889028591116555e-01	-7.692307692307691624e-01
1.554295248064048174e-01	4.589555283440286966e-05	5.298655770696198974e-01	-6.666666666666666297e-01
1.284527869557325896e-01	4.172300803968691767e-05	5.409223652986833164e-01	-5.641025641025640969e-01
1.055460737320323972e-01	3.782029282666326094e-05	5.515999042950949782e-01	-4.615384615384615086e-01
8.640311169544778735e-02	3.421909642404948921e-05	5.619352074045065315e-01	-3.589743589743589758e-01
7.075012531756130763e-02	3.096474106052045394e-05	5.719675248085014374e-01	-2.564102564102563875e-01
5.835847090331225395e-02	2.812262125172866942e-05	5.817319651275189019e-01	-1.538461538461538547e-01
4.903292120318969438e-02	2.577791158286344168e-05	5.912644470888632764e-01	-5.128205128205128027e-02
4.261502848175369174e-02	2.403174114576325831e-05	6.005984397950114850e-01	5.128205128205128027e-02
3.897874428565972771e-02	2.298358482241293264e-05	6.097663358380460696e-01	1.538461538461538547e-01
3.802882414837793768e-02	2.270180006438636929e-05	6.187987509311432266e-01	2.564102564102563875e-01
3.969859326263502908e-02	2.319484126239701303e-05	6.277249130996079840e-01	3.589743589743589758e-01
4.394783224888998419e-02	2.440464951470591718e-05	6.365722258011341506e-01	4.615384615384615086e-01
5.076150919500332925e-02	2.622835835345297745e-05	6.453671918274037633e-01	5.641025641025640969e-01
6.014825931305822770e-02	2.855060907730050322e-05	6.541350142227391196e-01	6.666666666666666297e-01
7.213750038197441761e-02	3.126686875791708138e-05	6.628989620874279343e-01	7.692307692307691624e-01
8.678065088940090099e-02	3.429377526431183883e-05	6.716824174346296417e-01	8.717948717948718063e-01
1.041458059007820403e-01	3.756857639050455622e-05	6.805065842032389511e-01	9.743589743589743390e-01
1.243217146594377542e-01	4.104661440320658795e-05	6.893932562582103518e-01	1.076923076923076872e+00
1.474029266361811530e-01	4.469478979545377139e-05	6.983598260041425920e-01	1.179487179487179516e+00
1.735027882902719920e-01	4.849054610037420909e-05	7.074250530459047503e-01	1.282051282051281937e+00
2.027328100518130949e-01	5.241624020311644495e-05	7.166025708922649784e-01	1.384615384615384581e+00
2.352106158037203798e-01	5.645888607875962812e-05	7.259051392187265694e-01	1.487179487179487225e+00
2.710467818279627128e-01	6.060744464494001248e-05	7.353409638415477900e-01	1.589743589743589647e+00
3.103242057152888478e-01	6.485025261096607119e-05	7.449110317706881812e-01	1.692307692307692291e+00
3.531409277394295110e-01	6.917957230386225583e-05	7.546192264491762280e-01	1.794871794871794712e+00
3.995378029541409859e-01	7.358389702153576232e-05	7.644576399732727623e-01	1.897435897435897356e+00
4.495577779448634015e-01	7.805425876776362726e-05	7.744202761967834414e-01	2.000000000000000000e+00
7.429856019471257067e-01	1.003446089432963681e-04	8.240913006092533966e-01	2.500000000000000000e+00
1.097046570980181546e+00	1.219316295764015458e-04	8.726592751949019400e-01	3.000000000000000000e+00
1.722417016701723647e+00	1.527822845120091553e-04	9.439999537124437179e-01	4.000000000000000000e+00
2.003662173489509701e+00	1.647844002100780901e-04	9.735757637887700877e-01	5.000000000000000000e+00
2.158461910383918880e+00	1.710314747416555835e-04	9.903338759623394605e-01	7.000000000000000000e+00
2.184060863391760421e+00	1.720426859747047912e-04	9.932383561624069657e-01	8.000000000000000000e+00
