# energy 	 size (m) 	 pop 	 delta_scan
4.143035728114954352e+00	2.369535311977658475e-04	5.812934305614294792e-03	-8.000000000000000000e+00
4.122499233841596222e+00	2.363655275666672907e-04	8.102845917441054563e-03	-7.000000000000000000e+00
4.013099124660309158e+00	2.332081852486610500e-04	1.986393663827381098e-02	-5.000000000000000000e+00
3.833146959319121194e+00	2.279195511204069988e-04	3.838395154225529571e-02	-4.000000000000000000e+00
3.254024394603076686e+00	2.099975597491479272e-04	9.606859815716956019e-02	-3.000000000000000000e+00
2.587473100444404484e+00	1.872585980640098708e-04	1.640144511318386289e-01	-2.500000000000000000e+00
1.714644129337810075e+00	1.524371583586938382e-04	2.624774434964801673e-01	-2.000000000000000000e+00
1.537662309653554438e+00	1.443558308043760697e-04	2.845814104918705234e-01	-1.897435897435897356e+00
1.367657566476107700e+00	1.361421272153361508e-04	3.067727922646016347e-01	-1.794871794871794712e+00
1.206637042345284350e+00	1.278769215296598116e-04	3.288238344282053971e-01	-1.692307692307692291e+00
1.056129517322898614e+00	1.196361521081845322e-04	3.505297520838976943e-01	-1.589743589743589647e+00
9.171544240669633474e-01	1.114872180337177064e-04	3.717183230919411385e-01	-1.487179487179487225e+00
7.903179766716061927e-01	1.034915225299200243e-04	3.922431258556288713e-01	-1.384615384615384581e+00
6.758059358799806127e-01	9.570064105193926954e-05	4.119941033561198562e-01	-1.282051282051281937e+00
5.734695028176688414e-01	8.815744795061155725e-05	4.308937305099171944e-01	-1.179487179487179516e+00
4.828793934386934605e-01	8.089527992919212131e-05	4.488997699096421434e-01	-1.076923076923076872e+00
4.034157613088920069e-01	7.394014141656031979e-05	4.659979396332907253e-01	-9.743589743589743390e-01
3.343120385801083838e-01	6.731004079996182922e-05	4.822034281933433864e-01	-8.717948717948718063e-01
2.747037274910222315e-01	6.101493066921649932e-05	4.975586564297627135e-01	-7.692307692307691624e-01
2.237287630530344629e-01	5.506361964642061821e-05	5.121186075010559779e-01	-6.666666666666666297e-01
1.805372469795654133e-01	4.946377451119103239e-05	5.259534058476567076e-01	-5.641025641025640969e-01
1.443646895137791208e-01	4.423177181414327414e-05	5.391324481944925751e-01	-4.615384615384615086e-01
1.145125746123334398e-01	3.939403219040500730e-05	5.517316042795790132e-01	-3.589743589743589758e-01
9.038112824886423979e-02	3.499795956957756164e-05	5.638235095990322687e-01	-2.564102564102563875e-01
7.146620982201890016e-02	3.112104853965062703e-05	5.754771661606211675e-01	-1.538461538461538547e-01
5.734704719341010559e-02	2.787785637878328386e-05	5.867613848938835197e-01	-5.128205128205128027e-02
4.769255224378432523e-02	2.542313642402942565e-05	5.977387207036671812e-01	5.128205128205128027e-02
4.224771908762070538e-02	2.392794927100225116e-05	6.084689520915105287e-01	1.538461538461538547e-01
4.082907867177065775e-02	2.352277940846330941e-05	6.190082988867086078e-01	2.564102564102563875e-01
4.331890744771804691e-02	2.422939629178212295e-05	6.294094494612454405e-01	3.589743589743589758e-01
4.965986901564667377e-02	2.594218969996689615e-05	6.397219083176535204e-01	4.615384615384615086e-01
5.984942976594243014e-02	2.847959797076488015e-05	6.499915996987597477e-01	5.641025641025640969e-01
7.393714793146854980e-02	3.165448067692567711e-05	6.602628124777443208e-01	6.666666666666666297e-01
9.201787887770440655e-02	3.531343424413212006e-05	6.705762344174012179e-01	7.692307692307691624e-01
1.142285075039770614e-01	3.934514019114143440e-05	6.809703867471479377e-01	8.717948717948718063e-01
1.407431677364621159e-01	4.367345061808219583e-05	6.914814671305139493e-01	9.743589743589743390e-01
1.717626092588653286e-01	4.824676073526465019e-05	7.021413651080403717e-01	1.076923076923076872e+00
2.074950464216047674e-01	5.302830096406434724e-05	7.129748769309696144e-01	1.179487179487179516e+00
2.481702776278464917e-01	5.799342111605580952e-05	7.240057184760128051e-01	1.282051282051281937e+00
2.939858427543877717e-01	6.312000932494575545e-05	7.352451836672302399e-01	1.384615384615384581e+00
3.451179313836278961e-01	6.838921334027639237e-05	7.466981147509150762e-01	1.487179487179487225e+00
4.016974143101461614e-01	7.378249957591251817e-05	7.583603757400021461e-01	1.589743589743589647e+00
4.637691714684057942e-01	7.927838307619867390e-05	7.702148428585775530e-01	1.692307692307692291e+00
5.313005791196305783e-01	8.485432645739763853e-05	7.822356579682654409e-01	1.794871794871794712e+00
6.041218544591053785e-01	9.048281831602704699e-05	7.943825568968555517e-01	1.897435897435897356e+00
6.819454757840763826e-01	9.613436724766733334e-05	8.066067867267330271e-01	2.000000000000000000e+00
1.111034809899619002e+00	1.227065311278042949e-04	8.647835010840133618e-01	2.500000000000000000e+00
1.529630307017713520e+00	1.439783147215682605e-04	9.127773488837367388e-01	3.000000000000000000e+00
2.005089647232359162e+00	1.648430886274703465e-04	9.627945593581124228e-01	4.000000000000000000e+00
2.172479048698348070e+00	1.715859186852031920e-04	9.804520517855349615e-01	5.000000000000000000e+00
2.276867475291334930e+00	1.756599369555306785e-04	9.919034538132729395e-01	7.000000000000000000e+00
2.296626422209123941e+00	1.764204901659027075e-04	9.941521980936967040e-01	8.000000000000000000e+00
