# energy 	 size (m) 	 pop 	 delta_scan
4.522696335560727476e+00	2.475725902196130863e-04	6.047371709194542672e-03	-8.000000000000000000e+00
4.498717354153956016e+00	2.469154127538596860e-04	8.497617900252144377e-03	-7.000000000000000000e+00
4.366322333256789534e+00	2.432549813926351660e-04	2.149521891989048666e-02	-5.000000000000000000e+00
4.137040898394305444e+00	2.367820373477499984e-04	4.297301064322459063e-02	-4.000000000000000000e+00
3.376754863162331866e+00	2.139210949718567140e-04	1.122870141842631508e-01	-3.000000000000000000e+00
2.573160943437362569e+00	1.867399857482638606e-04	1.889945737258774683e-01	-2.500000000000000000e+00
1.645097795907092042e+00	1.493137167465176450e-04	2.893676031203165633e-01	-2.000000000000000000e+00
1.468165671123799587e+00	1.410559396812893068e-04	3.108036459978875676e-01	-1.897435897435897356e+00
1.300701360572736665e+00	1.327677646064771432e-04	3.320587490032628208e-01	-1.794871794871794712e+00
1.144142345362180624e+00	1.245213658098683681e-04	3.529464140665043437e-01	-1.692307692307692291e+00
9.993049309154886650e-01	1.163731690452442252e-04	3.733259315434493408e-01	-1.589743589743589647e+00
8.667518086583871906e-01	1.083805184510452268e-04	3.930650213664075299e-01	-1.487179487179487225e+00
7.466179699912507406e-01	1.005895962959101595e-04	4.120667341237821413e-01	-1.384615384615384581e+00
6.388125854829493910e-01	9.304447243532882586e-05	4.302511156883279675e-01	-1.282051282051281937e+00
5.428993367184165031e-01	8.577554801579945849e-05	4.475800087364915081e-01	-1.179487179487179516e+00
4.583285654347899474e-01	7.881199274469057265e-05	4.640290805514006856e-01	-1.076923076923076872e+00
3.843468295335217277e-01	7.217146105847797399e-05	4.796093519384743153e-01	-9.743589743589743390e-01
3.201084272319041357e-01	6.586465171991069559e-05	4.943547373158182490e-01	-8.717948717948718063e-01
2.647650072251042097e-01	5.990100912601373451e-05	5.083100021082505027e-01	-7.692307692307691624e-01
2.174441901335926186e-01	5.428473849369894308e-05	5.215391897536250099e-01	-6.666666666666666297e-01
1.773423063463428484e-01	4.902414430516115364e-05	5.341093154406821863e-01	-5.641025641025640969e-01
1.437302398609812126e-01	4.413447055326115897e-05	5.460900225157230281e-01	-4.615384615384615086e-01
1.159729042723889325e-01	3.964442401731790210e-05	5.575478810190527268e-01	-3.589743589743589758e-01
9.351288647383904085e-02	3.559914579877472145e-05	5.685515943525246696e-01	-2.564102564102563875e-01
7.588798579170319414e-02	3.206936487208956061e-05	5.791651799931819555e-01	-1.538461538461538547e-01
6.272055517682373349e-02	2.915471449502354953e-05	5.894486717999363190e-01	-5.128205128205128027e-02
5.370771103337879104e-02	2.697877136645535775e-05	5.994604964967384930e-01	5.128205128205128027e-02
4.862027491661446987e-02	2.566921283842969897e-05	6.092543849249916210e-01	1.538461538461538547e-01
4.729385938702290737e-02	2.531664919688388581e-05	6.188811867523169585e-01	2.564102564102563875e-01
4.962423900298462698e-02	2.593288151590470689e-05	6.283888544029082590e-01	3.589743589743589758e-01
5.556271623207353905e-02	2.744072491266109595e-05	6.378221743492538121e-01	4.615384615384615086e-01
6.511236622300731192e-02	2.970541232552038395e-05	6.472237702232721546e-01	5.641025641025640969e-01
7.832346738845563650e-02	3.257990387649210037e-05	6.566333169887390575e-01	6.666666666666666297e-01
9.529122437651427191e-02	3.593604674155521608e-05	6.660888899036531141e-01	7.692307692307691624e-01
1.161545397665881829e-01	3.967545720275231713e-05	6.756275588498124041e-01	8.717948717948718063e-01
1.410833963442552630e-01	4.372620624547939565e-05	6.852818938000109217e-01	9.743589743589743390e-01
1.702837130158634249e-01	4.803860656989311227e-05	6.950840977033951873e-01	1.076923076923076872e+00
2.039845007056770854e-01	5.257780250902120597e-05	7.050627782509706343e-01	1.179487179487179516e+00
2.424335525496781329e-01	5.731921165667526393e-05	7.152433688577723991e-01	1.282051282051281937e+00
2.858580655577427354e-01	6.224135964394605567e-05	7.256408276955472747e-01	1.384615384615384581e+00
3.344942594409363590e-01	6.732838238099992734e-05	7.362692158143132604e-01	1.487179487179487225e+00
3.885336866942146195e-01	7.256349386017140227e-05	7.471312610370188789e-01	1.589743589743589647e+00
4.481133816563520611e-01	7.792876657260331731e-05	7.582205078876524951e-01	1.692307692307692291e+00
5.133265176627894721e-01	8.340665337117351052e-05	7.695249568888580249e-01	1.794871794871794712e+00
5.841505534436046698e-01	8.897464054457744089e-05	7.810183527459686470e-01	1.897435897435897356e+00
6.604706007505680709e-01	9.460859463573514168e-05	7.926667479599174282e-01	2.000000000000000000e+00
1.097436122406135084e+00	1.219532760705384215e-04	8.498128818912835669e-01	2.500000000000000000e+00
1.564753302611685104e+00	1.456219305525789968e-04	9.006150383289495132e-01	3.000000000000000000e+00
2.161100823108129898e+00	1.711359934424550836e-04	9.584565177089250376e-01	4.000000000000000000e+00
2.373755098038994316e+00	1.793584330649212306e-04	9.788504164661893103e-01	5.000000000000000000e+00
2.500496721139943812e+00	1.840844018087430380e-04	9.915102255534571363e-01	7.000000000000000000e+00
2.523658103427585786e+00	1.849349970908281855e-04	9.939181440257265354e-01	8.000000000000000000e+00
