# energy 	 size (m) 	 pop 	 delta_scan
4.849514591488158634e-31	3.380774720151327181e-05	3.904263360851516901e-03	-8.000000000000000000e+00
4.847206734902020083e-31	3.336429083148671564e-05	4.158528920154692769e-03	-7.750000000000000000e+00
4.844662426079369999e-31	3.335721474396380782e-05	4.438348904926280557e-03	-7.500000000000000000e+00
4.841846771830180286e-31	3.334939564485477764e-05	4.747249227632872881e-03	-7.250000000000000000e+00
4.838728613855583291e-31	3.334072748153674447e-05	5.089378706062426712e-03	-7.000000000000000000e+00
4.835256572909180676e-31	3.333108611081195890e-05	5.469654029909036194e-03	-6.750000000000000000e+00
4.831377297534567642e-31	3.332031506886386110e-05	5.893927084449199563e-03	-6.500000000000000000e+00
4.827025464077295336e-31	3.145529813071107312e-05	6.369209499506249539e-03	-6.250000000000000000e+00
4.822127448259136145e-31	3.144234458417713874e-05	6.903953618246530359e-03	-6.000000000000000000e+00
4.816581459198036998e-31	3.117207742183932434e-05	7.508429748766760024e-03	-5.750000000000000000e+00
4.810273016459349954e-31	2.985330353234441102e-05	8.195199108857983625e-03	-5.500000000000000000e+00
4.803061683072920426e-31	2.983425926023872775e-05	8.979754254419797244e-03	-5.250000000000000000e+00
4.794760910111072303e-31	2.564028826136042146e-05	9.881380354264938937e-03	-5.000000000000000000e+00
4.785154894822866436e-31	2.561485738156157993e-05	1.092428675485003151e-02	-4.750000000000000000e+00
4.773951198398090126e-31	2.558516667804126225e-05	1.213920832117606000e-02	-4.500000000000000000e+00
4.760789374775174763e-31	2.293217419043009896e-05	1.356556568935000928e-02	-4.250000000000000000e+00
4.745188529147087085e-31	2.289384544813070967e-05	1.525456468695908854e-02	-4.000000000000000000e+00
4.726525070232137866e-31	1.630935957455446371e-05	1.727356681175466063e-02	-3.750000000000000000e+00
4.703963267053838509e-31	1.591013619404266181e-05	1.971247925588784367e-02	-3.500000000000000000e+00
4.676371818124894265e-31	1.587724217524817176e-05	2.269317354813123189e-02	-3.250000000000000000e+00
4.642182352765913072e-31	1.568957415302972433e-05	2.638369099061752682e-02	-3.000000000000000000e+00
4.599207533392966241e-31	1.562664936003523480e-05	3.101994817609682320e-02	-2.750000000000000000e+00
4.544310637265780215e-31	1.554584319781972056e-05	3.693976154492994990e-02	-2.500000000000000000e+00
4.472889747168777896e-31	1.544457561398910394e-05	4.463702553189501099e-02	-2.250000000000000000e+00
4.378111394317585101e-31	1.530377147840679519e-05	5.484879775672806684e-02	-2.000000000000000000e+00
4.249563814975249359e-31	1.511706730939052154e-05	6.869703412796834829e-02	-1.750000000000000000e+00
