# energy 	 size (m) 	 pop 	 delta_scan
2.090180785500322269e+00	1.683045168390942612e-04	9.960114283317260675e-01	9.000000000000000000e+00
2.081065045667234159e+00	1.679371092385756792e-04	9.948265020570068451e-01	8.000000000000000000e+00
2.066906934535519547e+00	1.673648709799619870e-04	9.930060586660126587e-01	7.000000000000000000e+00
2.043210659629568937e+00	1.664027191542313475e-04	9.900016577735031298e-01	6.000000000000000000e+00
1.999208717198521335e+00	1.646011686335769697e-04	9.845248839171382160e-01	5.000000000000000000e+00
1.904171988302970409e+00	1.606411971351833358e-04	9.729797297062325878e-01	4.000000000000000000e+00
1.650017411526694566e+00	1.495368091791070199e-04	9.428679758206625072e-01	3.000000000000000000e+00
1.579042822062174611e+00	1.462853380974787920e-04	9.344822964532827347e-01	2.846153846153846256e+00
1.494695919350077951e+00	1.423246977941071249e-04	9.244602603088712955e-01	2.692307692307692513e+00
1.395350420464847918e+00	1.375135486953107543e-04	9.125264188651365238e-01	2.538461538461538769e+00
1.280617739353437479e+00	1.317387695014556970e-04	8.984835270476969615e-01	2.384615384615384581e+00
1.151904250319082390e+00	1.249430306993431865e-04	8.822687743504228353e-01	2.230769230769230838e+00
1.012865455707262718e+00	1.171600978348089897e-04	8.640198175643540868e-01	2.076923076923077094e+00
8.690783158968689026e-01	1.085258767202465805e-04	8.440829573324245549e-01	1.923076923076923128e+00
7.269245514636388794e-01	9.925411343290350063e-05	8.229485610016356034e-01	1.769230769230769384e+00
5.923861530236227413e-01	8.959964626210345029e-05	8.011618782590823606e-01	1.615384615384615419e+00
4.699486817433431440e-01	7.980480922451446148e-05	7.792035085740730560e-01	1.461538461538461675e+00
3.623894041213902018e-01	7.007959629373567930e-05	7.574430286141935476e-01	1.307692307692307709e+00
2.709211892874374694e-01	6.059340145125455057e-05	7.361142859720889442e-01	1.153846153846153966e+00
1.955852409018399296e-01	5.148395304474245052e-05	7.153147512524590246e-01	1.000000000000000000e+00
1.357457998973807811e-01	4.289108636502920275e-05	6.950292610905515200e-01	8.461538461538462563e-01
9.049446592616128271e-02	3.501989636535186867e-05	6.751548987407545166e-01	6.923076923076922906e-01
5.895575033794298037e-02	2.826616771136849826e-05	6.555225167465228431e-01	5.384615384615385469e-01
4.051158143032607128e-02	2.343114136983304212e-05	6.359141276749630256e-01	3.846153846153846367e-01
3.496187235058445530e-02	2.176713081665189044e-05	6.160754330294599956e-01	2.307692307692307820e-01
4.263862102208015870e-02	2.403839245391108700e-05	5.957167143628365746e-01	7.692307692307692735e-02
6.448394196709750226e-02	2.956171564057645526e-05	5.745305158399907075e-01	-7.692307692307692735e-02
1.022980314971653204e-01	3.723381051443920927e-05	5.520968568542293786e-01	-2.307692307692307820e-01
1.585605037605721801e-01	4.635550902278586888e-05	5.280699947633676894e-01	-3.846153846153846367e-01
2.367333054821780802e-01	5.664134101550857841e-05	5.020154848565191452e-01	-5.384615384615385469e-01
3.410113110784003254e-01	6.798110790543644276e-05	4.735366343222828789e-01	-6.923076923076922906e-01
4.758472645808102808e-01	8.030408433715387391e-05	4.423460288770972859e-01	-8.461538461538462563e-01
6.450633442316258126e-01	9.349858272630081170e-05	4.083692825854399189e-01	-1.000000000000000000e+00
8.505517005698015609e-01	1.073628927598732229e-04	3.718559883040563063e-01	-1.153846153846153966e+00
1.090732591522389772e+00	1.215802385035001778e-04	3.334587336007011626e-01	-1.307692307692307709e+00
1.359386794399843001e+00	1.357298500333371089e-04	2.942299582090929233e-01	-1.461538461538461675e+00
1.645416002832185143e+00	1.493281567273681211e-04	2.555236186136570220e-01	-1.615384615384615419e+00
1.934043987389092667e+00	1.618963358317990794e-04	2.188021176351837016e-01	-1.769230769230769384e+00
2.209759859125475678e+00	1.730519056090318775e-04	1.853502933669589625e-01	-1.923076923076923128e+00
2.459843264180648692e+00	1.825818333985871668e-04	1.560303007698096156e-01	-2.076923076923077094e+00
2.677095323723207798e+00	1.904740269458700885e-04	1.311301964968920042e-01	-2.230769230769230838e+00
2.859691146674763207e+00	1.968626882565260850e-04	1.104790012181411651e-01	-2.384615384615384581e+00
3.010106962443560796e+00	2.019736946736615973e-04	9.357629692448277137e-02	-2.538461538461538769e+00
3.132929143889246149e+00	2.060530902918716227e-04	7.980021434615176823e-02	-2.692307692307692513e+00
3.232886943021370918e+00	2.093143987434173219e-04	6.857437666541299492e-02	-2.846153846153846256e+00
3.314426420796911188e+00	2.119376121930488185e-04	5.938754006145616909e-02	-3.000000000000000000e+00
3.592855472770879466e+00	2.206600537564058664e-04	2.751675769059979543e-02	-4.000000000000000000e+00
3.693373896679704060e+00	2.237254980739697126e-04	1.561935568824615247e-02	-5.000000000000000000e+00
3.739481416842580508e+00	2.251176443255815160e-04	1.002305005226163115e-02	-6.000000000000000000e+00
3.764212599408987892e+00	2.258608290305262579e-04	6.966419478720243738e-03	-7.000000000000000000e+00
3.778957967690183217e+00	2.263027735121530951e-04	5.119330815807670611e-03	-8.000000000000000000e+00
3.788438213294671897e+00	2.265864578023904269e-04	3.919452950922916283e-03	-9.000000000000000000e+00
