# energy 	 size (m) 	 pop 	 delta_scan
2.356362458502602841e+00	1.787001402556919686e-04	9.965904805910933417e-01	9.000000000000000000e+00
2.349038624932956232e+00	1.784222142907837603e-04	9.956796112829918721e-01	8.000000000000000000e+00
2.338199014202566595e+00	1.780100746973302286e-04	9.943361388828096947e-01	7.000000000000000000e+00
2.321196818020150321e+00	1.773616944279614890e-04	9.922382426276057377e-01	6.000000000000000000e+00
2.292372936982268072e+00	1.762570439670633647e-04	9.887026261007668682e-01	5.000000000000000000e+00
2.237896809281559207e+00	1.741501586499719079e-04	9.820739680149089823e-01	4.000000000000000000e+00
2.117082733723792298e+00	1.693841468363444782e-04	9.675343065018211508e-01	3.000000000000000000e+00
2.086180875916294752e+00	1.681434003379197084e-04	9.638393980994895971e-01	2.846153846153846256e+00
2.049854111644529020e+00	1.666730268963818179e-04	9.595045383730445021e-01	2.692307692307692513e+00
2.006848982426971517e+00	1.649153922919389123e-04	9.543825581040000783e-01	2.538461538461538769e+00
1.955566578649722054e+00	1.627946577736319629e-04	9.482851263943405939e-01	2.384615384615384581e+00
1.893957702129692500e+00	1.602097651225683540e-04	9.409695411004883603e-01	2.230769230769230838e+00
1.819414298487914916e+00	1.570253057153257845e-04	9.321240296056223507e-01	2.076923076923077094e+00
1.728707338504831714e+00	1.530610131470046340e-04	9.213542082253591836e-01	1.923076923076923128e+00
1.617805317511539442e+00	1.480699654904564858e-04	9.081535255519450622e-01	1.769230769230769384e+00
1.482175509327425811e+00	1.417273485465323684e-04	8.919123220299665089e-01	1.615384615384615419e+00
1.317481303398401860e+00	1.336214180237883006e-04	8.719488252883701440e-01	1.461538461538461675e+00
1.121385686670218540e+00	1.232767993253910228e-04	8.476220002400247644e-01	1.307692307692307709e+00
8.973160540108655603e-01	1.102748726261649798e-04	8.186093391790856266e-01	1.153846153846153966e+00
6.616973118455362624e-01	9.469641351319856612e-05	7.856261283657510752e-01	1.000000000000000000e+00
4.414727566166292139e-01	7.734919532997683734e-05	7.504451237720098922e-01	8.461538461538462563e-01
2.622149582556181358e-01	5.961184688137768353e-05	7.151719189844745195e-01	6.923076923076922906e-01
1.361150161952005000e-01	4.294937669359441979e-05	6.810431503143140608e-01	5.384615384615385469e-01
6.355935853792615831e-02	2.934901962512004750e-05	6.480156672892583014e-01	3.846153846153846367e-01
4.195693297878255734e-02	2.384546044767706647e-05	6.151099989841215532e-01	2.307692307692307820e-01
7.254973445665702236e-02	3.135607968804878524e-05	5.807748677112535285e-01	7.692307692307692735e-02
1.640785573519543128e-01	4.715521836701465434e-05	5.430585505972355120e-01	-7.692307692307692735e-02
3.336490175551907189e-01	6.724326168935549448e-05	4.998347845993650895e-01	-2.307692307692307820e-01
6.006097835355410641e-01	9.021942337509656208e-05	4.496460135736899399e-01	-3.846153846153846367e-01
9.673458184766716705e-01	1.144971628240960419e-04	3.933698478145379318e-01	-5.384615384615385469e-01
1.400383706653970606e+00	1.377613437956860907e-04	3.350441440633206702e-01	-6.923076923076922906e-01
1.842722396448133626e+00	1.580279124242582828e-04	2.799321129237668515e-01	-8.461538461538462563e-01
2.247990560716952135e+00	1.745424579615801675e-04	2.316015149299058828e-01	-1.000000000000000000e+00
2.595888815733593979e+00	1.875628786604845990e-04	1.911140665441487807e-01	-1.153846153846153966e+00
2.883057901862291494e+00	1.976653420010110332e-04	1.581276759257411735e-01	-1.307692307692307709e+00
3.115231062569161047e+00	2.054702636556074338e-04	1.316278526978016672e-01	-1.461538461538461675e+00
3.301344770429765596e+00	2.115189522986117695e-04	1.104354736442359902e-01	-1.615384615384615419e+00
3.450420417637130477e+00	2.162419023915735121e-04	9.346040236880660823e-02	-1.769230769230769384e+00
3.570255707036526616e+00	2.199649614528305548e-04	7.979563199836051113e-02	-1.923076923076923128e+00
3.667218063183717014e+00	2.229318979515571291e-04	6.871471152107140601e-02	-2.076923076923077094e+00
3.746270052510265458e+00	2.253218903877654230e-04	5.965673068710501681e-02	-2.230769230769230838e+00
3.811269441589660190e+00	2.272681999927398777e-04	5.218799074929619808e-02	-2.384615384615384581e+00
3.865157095541981391e+00	2.288692365586932141e-04	4.597811047085633568e-02	-2.538461538461538769e+00
3.910208766170123695e+00	2.301992044440698509e-04	4.077173073374528584e-02	-2.692307692307692513e+00
3.948175585523732600e+00	2.313140833489171658e-04	3.637203190261113772e-02	-2.846153846153846256e+00
3.980410834733473457e+00	2.322564564807114867e-04	3.262664653293954192e-02	-3.000000000000000000e+00
4.105972866309272717e+00	2.358912780756691079e-04	1.792703068791120721e-02	-4.000000000000000000e+00
4.162367350921656772e+00	2.375057066526422417e-04	1.124657263295120169e-02	-5.000000000000000000e+00
4.192153613171672788e+00	2.383539974789700405e-04	7.689323073889906858e-03	-6.000000000000000000e+00
4.209706682317008841e+00	2.388524851490677660e-04	5.580822194719200005e-03	-7.000000000000000000e+00
4.220890908399138830e+00	2.391695628503708710e-04	4.231551331605455830e-03	-8.000000000000000000e+00
4.228444389088510391e+00	2.393834697250150911e-04	3.317255493022852868e-03	-9.000000000000000000e+00
