# energy 	 size (m) 	 pop 	 delta_scan
4.321853729127594690e+00	2.420131018850338995e-04	4.692706877120985699e-03	-8.000000000000000000e+00
4.307884696770096333e+00	2.416216697311265372e-04	6.290893669564387100e-03	-7.000000000000000000e+00
4.244805691799866665e+00	2.398461509941059654e-04	1.338531188531189020e-02	-5.000000000000000000e+00
4.162730304755731581e+00	2.375160615445155038e-04	2.241668264050289405e-02	-4.000000000000000000e+00
3.958639078329910355e+00	2.316203959362485309e-04	4.432119137824514638e-02	-3.000000000000000000e+00
3.728027614515379007e+00	2.247726191534729395e-04	6.856215649556442193e-02	-2.500000000000000000e+00
3.278039658602962980e+00	2.107710444529929141e-04	1.153324944082698977e-01	-2.000000000000000000e+00
3.140617769449271179e+00	2.063057762249902876e-04	1.296238579436684302e-01	-1.897435897435897356e+00
2.983143444469279260e+00	2.010670538093498841e-04	1.460652949403618561e-01	-1.794871794871794712e+00
2.804159516413187170e+00	1.949419039742250810e-04	1.648826141916719390e-01	-1.692307692307692291e+00
2.602942465482443790e+00	1.878175323525537030e-04	1.862633825626481554e-01	-1.589743589743589647e+00
2.380531337846443662e+00	1.796142533942121395e-04	2.102704356539695785e-01	-1.487179487179487225e+00
2.140354211871964285e+00	1.703125579428852983e-04	2.367775122954736688e-01	-1.384615384615384581e+00
1.888351413898548881e+00	1.599724716020701728e-04	2.654399266021725268e-01	-1.282051282051281937e+00
1.632477417429472943e+00	1.487398835100856758e-04	2.957021708481455402e-01	-1.179487179487179516e+00
1.381879197765893963e+00	1.368481357479514149e-04	3.268314841254650327e-01	-1.076923076923076872e+00
1.145257220989809976e+00	1.245820191167793206e-04	3.580309489513249233e-01	-9.743589743589743390e-01
9.297122588963444567e-01	1.122478741315506426e-04	3.885335110516842105e-01	-8.717948717948718063e-01
7.397918242768486419e-01	1.001287073749193286e-04	4.177142461641769611e-01	-7.692307692307691624e-01
5.773892321559768170e-01	8.845821797301932615e-05	4.451445466406144247e-01	-6.666666666666666297e-01
4.420751598937946447e-01	7.740195002850576065e-05	4.706163845177218641e-01	-5.641025641025640969e-01
3.318957608846051510e-01	6.706635425484281125e-05	4.941062507314851748e-01	-4.615384615384615086e-01
2.440512829263563610e-01	5.751013583721443194e-05	5.157398629603096030e-01	-3.589743589743589758e-01
1.755790235472163285e-01	4.877981631604683116e-05	5.357261459789627311e-01	-2.564102564102563875e-01
1.237346200737265978e-01	4.094958082062963300e-05	5.543144657962998378e-01	-1.538461538461538547e-01
8.618685510425994067e-02	3.417624645488865530e-05	5.717685969130749113e-01	-5.128205128205128027e-02
6.113637583071107606e-02	2.878416867448292072e-05	5.883297901646955541e-01	5.128205128205128027e-02
4.725070913096218739e-02	2.530509728295146223e-05	6.042345449581199013e-01	1.538461538461538547e-01
4.366792942550978829e-02	2.432680902473962692e-05	6.196894233475871427e-01	2.564102564102563875e-01
4.992311200329258014e-02	2.601085755429602048e-05	6.348837249987122622e-01	3.589743589743589758e-01
6.590269584405872294e-02	2.988514973144577104e-05	6.499887564550766994e-01	4.615384615384615086e-01
9.179769829669992554e-02	3.527115990926807290e-05	6.651597733145838687e-01	5.641025641025640969e-01
1.280461020799339433e-01	4.165690761313161245e-05	6.805330112014771338e-01	6.666666666666666297e-01
1.752762848010673835e-01	4.873774434387733102e-05	6.962264523309875663e-01	7.692307692307691624e-01
2.341890669584714146e-01	5.633614869930149947e-05	7.123261677423509131e-01	8.717948717948718063e-01
3.054419291388432711e-01	6.433809133490348681e-05	7.288831546913956405e-01	9.743589743589743390e-01
3.894507962825248804e-01	7.264908418803255085e-05	7.458970830071809388e-01	1.076923076923076872e+00
4.861564392299728699e-01	8.116931242149876837e-05	7.633044351114270931e-01	1.179487179487179516e+00
5.947653194330611015e-01	8.977939291743705305e-05	7.809675490639265139e-01	1.282051282051281937e+00
7.135548905323947366e-01	9.833713233038488086e-05	7.986749582157131044e-01	1.384615384615384581e+00
8.398294393729552887e-01	1.066840251383072315e-04	8.161555332542049790e-01	1.487179487179487225e+00
9.700063630906303747e-01	1.146545086434443296e-04	8.330966757718641924e-01	1.589743589743589647e+00
1.100100095814950052e+00	1.221012042091595398e-04	8.491959185140880439e-01	1.692307692307692291e+00
1.226228079632722956e+00	1.289108506884688971e-04	8.641956337221955442e-01	1.794871794871794712e+00
1.345247385687965203e+00	1.350221205081027600e-04	8.779252740306283664e-01	1.897435897435897356e+00
1.455003073127623558e+00	1.404222091609998180e-04	8.903049399288500698e-01	2.000000000000000000e+00
1.846113137024198991e+00	1.581732369154160826e-04	9.331557818007798488e-01	2.500000000000000000e+00
2.060363799126931905e+00	1.670997504168263148e-04	9.563878953443624154e-01	3.000000000000000000e+00
2.254616659528331457e+00	1.747995063242664541e-04	9.777482367595022872e-01	4.000000000000000000e+00
2.333589732478036360e+00	1.778345328936843173e-04	9.866347291592248991e-01	5.000000000000000000e+00
2.394547810298778945e+00	1.801422580552587184e-04	9.936477512676562540e-01	7.000000000000000000e+00
2.408077098673166994e+00	1.806504466314929659e-04	9.952322735354343086e-01	8.000000000000000000e+00
