# energy 	 size (m) 	 pop 	 delta_scan
2.420600142436418523e+00	1.811195677918800396e-04	9.966433195065246275e-01	9.000000000000000000e+00
2.413341994514350386e+00	1.808478212278131678e-04	9.957556329097836390e-01	8.000000000000000000e+00
2.402645205919295091e+00	1.804465852514434315e-04	9.944510699997850534e-01	7.000000000000000000e+00
2.385961044090093797e+00	1.798189760001203143e-04	9.924235758115701467e-01	6.000000000000000000e+00
2.357895243983086697e+00	1.787582519545548201e-04	9.890288219242082679e-01	5.000000000000000000e+00
2.305442077268972767e+00	1.767587629802488361e-04	9.827239324629837292e-01	4.000000000000000000e+00
2.191054507291912756e+00	1.723179172276489057e-04	9.690911208544163991e-01	3.000000000000000000e+00
2.162116253711622527e+00	1.711761943241161404e-04	9.656595264288648783e-01	2.846153846153846256e+00
2.128225413635715491e+00	1.698293151736659503e-04	9.616469536767775494e-01	2.692307692307692513e+00
2.088260179191733901e+00	1.682271740061958053e-04	9.569222709488063305e-01	2.538461538461538769e+00
2.040786056019089134e+00	1.663039578258704808e-04	9.513175779922524722e-01	2.384615384615384581e+00
1.983967123263090215e+00	1.639725238873011566e-04	9.446171811410265517e-01	2.230769230769230838e+00
1.915456147042943424e+00	1.611164754144064578e-04	9.365433524904941409e-01	2.076923076923077094e+00
1.832262683478858012e+00	1.575787729102845903e-04	9.267381002700657566e-01	1.923076923076923128e+00
1.730615014622970627e+00	1.531454433806051375e-04	9.147409476093887326e-01	1.769230769230769384e+00
1.605934766361718946e+00	1.475257380215737801e-04	8.999718298157195484e-01	1.615384615384615419e+00
1.453054189049868494e+00	1.403281343394990270e-04	8.817258044826666863e-01	1.461538461538461675e+00
1.267204506875718728e+00	1.310470353114749837e-04	8.592196988165762273e-01	1.307692307692307709e+00
1.046710552176256748e+00	1.191014769517832273e-04	8.317677186244153420e-01	1.153846153846153966e+00
7.981526392994902075e-01	1.040032289617009986e-04	7.991522393978687244e-01	1.000000000000000000e+00
5.458986907049014903e-01	8.601216358735673019e-05	7.625661466465445404e-01	8.461538461538462563e-01
3.256859234635087752e-01	6.643597913253406764e-05	7.244175512606273459e-01	6.923076923076922906e-01
1.649620484507177132e-01	4.728200301515909167e-05	6.869529220365675481e-01	5.384615384615385469e-01
7.158189415724280913e-02	3.114622660670952160e-05	6.507806458364865376e-01	3.846153846153846367e-01
4.376394552112206071e-02	2.435353896939387717e-05	6.148894765060274326e-01	2.307692307692307820e-01
8.343388094475945316e-02	3.362598915486702785e-05	5.772719817883578131e-01	7.692307692307692735e-02
2.034606382817816250e-01	5.251024531304792801e-05	5.353307293893190266e-01	-7.692307692307692735e-02
4.271313850201932105e-01	7.608246727416172748e-05	4.864808807259031753e-01	-2.307692307692307820e-01
7.708029055529217466e-01	1.022057942288415226e-04	4.299313658710057773e-01	-3.846153846153846367e-01
1.211259349067943081e+00	1.281216187091734418e-04	3.688585043365864569e-01	-5.384615384615385469e-01
1.684509646610322875e+00	1.510916963178900467e-04	3.092731266029132287e-01	-6.923076923076922906e-01
2.129596324430412579e+00	1.698840047189385122e-04	2.560345314825031027e-01	-8.461538461538462563e-01
2.517376014571409470e+00	1.847046762756883345e-04	2.109272694937447956e-01	-1.000000000000000000e+00
2.839792040950787744e+00	1.961765599593565796e-04	1.739808047490640219e-01	-1.153846153846153966e+00
3.101199196543253933e+00	2.050069938222685482e-04	1.442545814471457022e-01	-1.307692307692307709e+00
3.310771502554950452e+00	2.118207249534238314e-04	1.205042121189062870e-01	-1.461538461538461675e+00
3.478332187916579166e+00	2.171147724244608683e-04	1.015312369766051409e-01	-1.615384615384615419e+00
3.612661775977470846e+00	2.212674332153619745e-04	8.631117647923852720e-02	-1.769230769230769384e+00
3.720983967249149593e+00	2.245601787238857934e-04	7.401920805422773642e-02	-1.923076923076923128e+00
3.808994613544099295e+00	2.272003652134257923e-04	6.401218806904342140e-02	-2.076923076923077094e+00
3.881091562994073207e+00	2.293405186254029006e-04	5.579612260257109380e-02	-2.230769230769230838e+00
3.940655359225675447e+00	2.310936823887057407e-04	4.899237747828275730e-02	-2.384615384615384581e+00
3.990283255061631174e+00	2.325443053303626658e-04	4.331032545903294034e-02	-2.538461538461538769e+00
4.031969530741303487e+00	2.337558383046684537e-04	3.852664141429965744e-02	-2.692307692307692513e+00
4.067256845100948759e+00	2.347765115152495804e-04	3.446837164579084900e-02	-2.846153846153846256e+00
4.097345681096776993e+00	2.356433285728571074e-04	3.100069952133036044e-02	-3.000000000000000000e+00
4.215927276429352943e+00	2.390288936253229528e-04	1.725201101015228292e-02	-4.000000000000000000e+00
4.270129954592183807e+00	2.405605411390741302e-04	1.090869493793665719e-02	-5.000000000000000000e+00
4.299091266940924250e+00	2.413749397577028455e-04	7.497600551008691896e-03	-6.000000000000000000e+00
4.316293573521922333e+00	2.418573743126125339e-04	5.462034055997936483e-03	-7.000000000000000000e+00
4.327317522355751400e+00	2.421660330078807019e-04	4.153022851616697438e-03	-8.000000000000000000e+00
4.334794383666593198e+00	2.423751533681368984e-04	3.262698951323766798e-03	-9.000000000000000000e+00
