# energy 	 size (m) 	 pop 	 delta_scan
4.330674434940555706e+00	2.422599448370074736e-04	3.904263360851516901e-03	-8.000000000000000000e+00
4.321042428126673940e+00	2.419903853958269924e-04	5.089378706062426712e-03	-7.000000000000000000e+00
4.281778743694504286e+00	2.408884387131179190e-04	9.881380354264938937e-03	-5.000000000000000000e+00
4.237510015583721312e+00	2.396399469285986981e-04	1.525456468695908854e-02	-4.000000000000000000e+00
4.145524270148931656e+00	2.370246843739187682e-04	2.638369099061752682e-02	-3.000000000000000000e+00
4.058123659588002141e+00	2.345127634139447244e-04	3.693976154492994990e-02	-2.500000000000000000e+00
3.909705751163613741e+00	2.301843973857447027e-04	5.484879775672806684e-02	-2.000000000000000000e+00
3.866931645782663018e+00	2.289217691392945574e-04	6.000862201289208775e-02	-1.897435897435897356e+00
3.818291499529268940e+00	2.274774683327960645e-04	6.587649209184445742e-02	-1.794871794871794712e+00
3.762762109034263780e+00	2.258173085709442782e-04	7.257577105136713003e-02	-1.692307692307692291e+00
3.699136213377474114e+00	2.238999557331556537e-04	8.025408124863536719e-02	-1.589743589743589647e+00
3.625949671339759206e+00	2.216739866158046288e-04	8.908849292746680304e-02	-1.487179487179487225e+00
3.541472749925106633e+00	2.190765020971807144e-04	9.929036657431265789e-02	-1.384615384615384581e+00
3.443667703219149168e+00	2.160301984869343302e-04	1.111106691452700135e-01	-1.282051282051281937e+00
3.330133786928277217e+00	2.124392143530433211e-04	1.248452289979024438e-01	-1.179487179487179516e+00
3.198126764421917123e+00	2.081860776279245305e-04	1.408370020907089848e-01	-1.076923076923076872e+00
3.044583645090515489e+00	2.031270685265020948e-04	1.594747279680004681e-01	-9.743589743589743390e-01
2.866222533544718676e+00	1.970873721439004721e-04	1.811839631439213782e-01	-8.717948717948718063e-01
2.659822583667247997e+00	1.898585590662656912e-04	2.064034132563800361e-01	-7.692307692307691624e-01
2.422620154385609403e+00	1.811951249620793558e-04	2.355442052770060912e-01	-6.666666666666666297e-01
2.153051813700356032e+00	1.708169985578799775e-04	2.689208142315239747e-01	-5.641025641025640969e-01
1.851766088739450034e+00	1.584152216052798286e-04	3.066557431249118393e-01	-4.615384615384615086e-01
1.523030702466201536e+00	1.436673810713114336e-04	3.485601703584984556e-01	-3.589743589743589758e-01
1.176232573239527124e+00	1.262555409319989581e-04	3.940265110443925134e-01	-2.564102564102563875e-01
8.282642820771839443e-01	1.059469143328514615e-04	4.419230292074513011e-01	-1.538461538461538547e-01
5.020129375554098772e-01	8.248240219177127510e-05	4.908417553820493273e-01	-5.128205128205128027e-02
2.425078639286031290e-01	5.732799580238513281e-05	5.382093372718496083e-01	5.128205128205128027e-02
8.613693291446655742e-02	3.416634703231369069e-05	5.822867099899127208e-01	1.538461538461538547e-01
4.548440161392730552e-02	2.482761994414296860e-05	6.231325928594623198e-01	2.564102564102563875e-01
1.109345800239851521e-01	3.877370642064111614e-05	6.620000548740814228e-01	3.589743589743589758e-01
2.585952052657600753e-01	5.919896038382225064e-05	6.994249700215393606e-01	4.615384615384615086e-01
4.526168393984479899e-01	7.831937259041332245e-05	7.346630460203547042e-01	5.641025641025640969e-01
6.594146330248247256e-01	9.453293374628119145e-05	7.667315835002723734e-01	6.666666666666666297e-01
8.572498873567082622e-01	1.077848109318737586e-04	7.951029292818845295e-01	7.692307692307691624e-01
1.037466370561415108e+00	1.185743792849391020e-04	8.198389187431147640e-01	8.717948717948718063e-01
1.197731025410505801e+00	1.274041267923527556e-04	8.412374632404701069e-01	9.743589743589743390e-01
1.338335989301775442e+00	1.346748263617325602e-04	8.596696064184088382e-01	1.076923076923076872e+00
1.460771222142885684e+00	1.407002756033826768e-04	8.755197214794879779e-01	1.179487179487179516e+00
1.567022945415275093e+00	1.457275031062816337e-04	8.891534346026018776e-01	1.282051282051281937e+00
1.659148379383002414e+00	1.499499963344905749e-04	9.008997687628117479e-01	1.384615384615384581e+00
1.739111707557758013e+00	1.535209274029672812e-04	9.110462393462384068e-01	1.487179487179487225e+00
1.808660333095742700e+00	1.565605552284051415e-04	9.198384994897796929e-01	1.589743589743589647e+00
1.869317630089497584e+00	1.591642022536601049e-04	9.274842707938353303e-01	1.692307692307692291e+00
1.922373338322778569e+00	1.614071291922351652e-04	9.341577385776207443e-01	1.794871794871794712e+00
1.968946180644250088e+00	1.633506129790921401e-04	9.400051044474709849e-01	1.897435897435897356e+00
2.009967935018399654e+00	1.650434945058700073e-04	9.451483470011946553e-01	2.000000000000000000e+00
2.152772491614301842e+00	1.708059178891159805e-04	9.630099865363823675e-01	2.500000000000000000e+00
2.237166556096882974e+00	1.741217426649906033e-04	9.735450128975251527e-01	3.000000000000000000e+00
2.326196370332711982e+00	1.775525985559008718e-04	9.846574204765458083e-01	4.000000000000000000e+00
2.369121611770459435e+00	1.791832968890862273e-04	9.900246919377079236e-01	5.000000000000000000e+00
2.407232677854946434e+00	1.806187702426193713e-04	9.948127863213284128e-01	7.000000000000000000e+00
2.416585663801295247e+00	1.809693153110206827e-04	9.959971703308196922e-01	8.000000000000000000e+00
